,mslEurope_cluster1,mslEurope_cluster2,mslEurope_cluster3,mslEurope_cluster4,mslEurope_cluster5
1950-01-01,1966.2652584843904,-124.68664719431635,1590.5588580931674,2087.0910150523864,781.1791726627091
1950-01-02,402.46628079092017,-18.994580273532673,1421.4503180414513,1579.6613554074675,-519.7520737434696
1950-01-03,527.3098382733475,-652.6844803462108,1652.957710946861,844.0885350589158,-2145.3844742123597
1950-01-04,1021.6488509161637,-1190.8345189641684,938.1946253052383,121.31708611135697,-2010.079463531145
1950-01-05,1303.1830072205557,-969.7373498282585,-680.2236234564134,-989.8807734445081,-1498.0011929818547
1950-01-06,1373.5937855401119,-318.11313951099623,-1792.4057724411452,-1483.9684629077203,-884.1179111282204
1950-01-07,1698.7574739019797,-158.2627796669982,-918.6679664535906,-1413.8746838896714,-89.93846915558134
1950-01-08,1705.3844586461344,-205.73337755521354,317.3530864489241,-1196.8450812562342,425.07688811549934
1950-01-09,2575.483087147189,-103.07749219178412,764.3463706556173,-484.44490116658557,-68.7124454123004
1950-01-10,3443.8758897767702,125.69044254236968,164.64452055182517,1009.6414887770126,1206.8808943302206
1950-01-11,2857.077183249988,284.33406906169216,126.88879353715753,1730.261911917277,2244.3331952334574
1950-01-12,851.9696120848023,273.23668467227594,894.582084520785,1869.0878458583866,2030.9358492642712
1950-01-13,-638.785915722398,378.9391318920169,-355.16461375841806,1348.9510230685885,1206.7360402119455
1950-01-14,-805.6088180625204,686.198678412036,-20.748230780660435,1444.2887689983104,-342.86891681886084
1950-01-15,-67.5350020972016,665.580295673673,-1782.9928153963401,866.594527508044,-1281.1434087022428
1950-01-16,329.2891620382587,315.3211250600809,939.3913909310828,486.2571031364325,-1942.6501341675876
1950-01-17,1793.1304736800223,-90.02788969730655,3494.9614568817115,1285.4132551167907,-786.8379460077397
1950-01-18,2762.283809641657,-173.47445900607948,3174.5480710387687,2133.668462570964,1544.596566924339
1950-01-19,2117.292533893988,-304.65519373470937,3869.017288922536,2001.5533506959503,2384.406164474618
1950-01-20,1903.824129388029,-580.871533244004,3876.9656378354857,1721.2953773985323,1277.2555322463104
1950-01-21,2192.0654548224547,-702.4818690226888,3416.6259129892965,1739.5412454450286,487.4081987992244
1950-01-22,2190.611859743308,-821.9232989819853,2520.6967541856066,1479.9845784665383,1636.3608949814036
1950-01-23,2384.1600983588855,-599.9475344017299,2596.1013036667136,1148.1518290188053,2394.1912792836197
1950-01-24,2291.279637571281,-422.1570544439056,2482.8861383170474,745.5765150245114,2095.8578915790818
1950-01-25,2108.3756241960277,-179.96127552360423,3608.6757697633525,435.46695413167805,1958.920698068643
1950-01-26,2863.0386577849927,-70.89732363155582,2466.8161436361283,149.62574307164033,1629.4929095280124
1950-01-27,3477.528332143415,-99.72471448358813,2123.1433129979746,208.3395597373995,988.6629375139743
1950-01-28,3326.29839475094,-371.2132646653345,2342.7880674168914,-97.76029042244384,657.1606754731782
1950-01-29,3196.383593126458,-189.8159061469197,2252.0082318322184,-343.64643089672154,752.422737906675
1950-01-30,3251.15355373296,-10.679416256559781,1587.496994219091,-605.5577843416876,1480.3043855600943
1950-01-31,2967.3176879366865,-37.12837058693586,967.5647658070974,-869.4489267036217,1390.3178563981148
1950-02-01,2688.860475985055,-136.53367473134298,-1274.08494765851,-2034.328469231989,1236.462687619975
1950-02-02,2441.004277856909,-76.24653082350571,-2794.241661699081,-2639.7760599555286,1687.9889204567053
1950-02-03,1698.4763045465122,31.748956306692964,-4055.2310641373138,-2938.7229695470583,1662.957738212913
1950-02-04,79.72190460831327,87.53898404908128,-3226.750424967454,-2152.764788146064,1998.0365383330945
1950-02-05,-751.6971615100807,333.51324827263716,-2996.6656957714663,-3162.9967913301157,1429.8426567834435
1950-02-06,-1552.9343615778046,405.04663896788713,-2661.0359815946,-2137.7368717655454,240.95650435488835
1950-02-07,-1711.4413726762048,671.195532567734,-2407.6259249570558,-800.6375316102818,-268.9952316003821
1950-02-08,-1663.9940042937499,671.9355451414928,-3377.822275712061,-1047.5278716074736,-537.81392088124
1950-02-09,-1458.9760257978653,355.2402040432845,-2780.3164231716682,-1029.2392933118942,-885.6156974389357
1950-02-10,-1451.405982015554,65.10997986200195,-3964.2773899544186,-2390.165880893749,-1365.5996699408697
1950-02-11,-2193.739551417522,39.742737558720286,-4165.544638527291,-2788.4780994882053,-2228.806080309206
1950-02-12,-2433.2075413322605,150.16523561024286,-2609.23365854722,-2721.5303612021166,-2511.512258930231
1950-02-13,-2000.6121958000986,105.87967137175909,-2353.920841696529,-3078.486735888415,-2110.7536391352824
1950-02-14,-1712.6592276609165,228.05868797655108,-1669.6769942226024,-1022.7337845933316,-1451.1395571152939
1950-02-15,-912.4649059522246,647.9447421176236,-2865.805656273208,-660.7870567625482,-698.4247901012284
1950-02-16,-352.3292079773644,884.0186177597155,-2557.546892623987,111.79094400495924,-244.74986525629646
1950-02-17,-191.5995273440548,854.1287776512283,-1734.9606482582901,478.78352356315867,319.9257975119051
1950-02-18,-455.7377249561686,655.5723388918886,-1396.652925047782,612.3248003860763,-14.065436288029955
1950-02-19,-531.5938724666862,345.27000686087285,-1020.1596215472877,-124.55243293889596,-289.1091213239862
1950-02-20,-1128.1845708652388,27.817914573208608,-531.7049748266897,-1163.2193513670413,-368.86967600663655
1950-02-21,-1152.7408297660277,-317.5367648376255,33.63971576696032,-31.066957266745938,-1272.501917693011
1950-02-22,-1833.4233317721835,-206.78717602411496,67.50810215070938,259.5553538770094,-1194.519961721213
1950-02-23,-3201.025913173853,143.31658327103392,-269.2287120099157,-880.4937822247003,-1157.9494926520417
1950-02-24,-3543.105415274954,3.390224741889423,-559.4885571558067,-1935.831474617522,-1608.0077045568405
1950-02-25,-3015.56617903409,-599.1618700384272,-274.1011537133017,-2678.8781784995645,-1853.1947639921782
1950-02-26,-1461.4678597660943,-769.6742327321322,166.6015172439367,-1193.7403341523661,-1699.2240360705982
1950-02-27,42.301087577003315,-346.78901381072694,594.8933909400434,-131.74747954899146,-1057.400991451889
1950-02-28,957.6007404304457,-211.27427875684006,593.9640265362958,-65.48111943713157,-658.6923712021008
1950-03-01,1705.272880347706,-399.8926423216664,221.27654393624277,531.4023006491428,302.41193065372323
1950-03-02,1758.5981446690257,-388.2142418608821,-1646.964346153182,664.0857620714812,1208.7416399181536
1950-03-03,538.5780208989161,-179.0884829433069,-1827.94314992669,952.4495349413197,1615.2189093180796
1950-03-04,-790.4982628692896,-167.34507703258896,-606.220245748957,1942.4824683011657,1021.1895620279088
1950-03-05,-1556.9329243460932,-105.63443789456473,390.52878748654945,2133.7508665717264,424.54347100436917
1950-03-06,-963.9436271964408,258.5034328346405,1856.4936302426652,2045.303741717606,-353.15846326380904
1950-03-07,-1007.9048916413741,499.03110336693106,3378.3277232333535,1924.0600453405955,-1390.1934514564641
1950-03-08,-215.78351805331187,182.48937474809634,2698.346086572597,1497.4843476085668,-2383.4310484293683
1950-03-09,-43.2044020998838,-45.609123426325716,2918.037903236363,732.9941265023559,-1515.9142655333628
1950-03-10,-1004.8871111240384,-116.16394147175635,1770.7979688339947,805.5461784451943,-1125.1000170494492
1950-03-11,-2089.8662043987893,-139.34409004652858,359.7292354476396,268.6240980295605,-1248.2591919333522
1950-03-12,-2054.559477219907,-211.8463761483116,1554.5617875782254,-186.49683150935596,-2285.2365866367522
1950-03-13,-1633.5727107367488,-207.37049843303276,1383.9504852342282,-240.90892482338973,-1784.6860694268748
1950-03-14,-780.3959527869399,13.862234792922791,662.8448729374484,-846.3059268816144,-389.3280410696718
1950-03-15,269.5032591306262,143.0532544617927,-9.910608774566692,-1702.6220167664994,523.7628636423844
1950-03-16,620.9152388615161,318.4266246242526,-3040.8038042399785,-2018.8985158311216,1343.5072791795292
1950-03-17,-543.9668546666246,608.8580310892662,-5001.541331278319,-1811.1794833509034,2039.5318437684075
1950-03-18,-1078.9511982812553,663.6619740558353,-3381.8072918344656,-1746.0335466365718,2112.520346099847
1950-03-19,-575.0894892857278,567.9144821879007,-1004.0622225974104,-986.0293045356614,1851.715984694081
1950-03-20,-535.7195779568962,418.00808200150345,-122.30734300221717,-851.0131061459637,1334.7864149544507
1950-03-21,-381.18921457548174,212.14073959546565,589.8120300107504,-229.1517772229011,627.9934528189721
1950-03-22,759.8834946136612,184.14285778572128,436.118964322129,399.47136198617454,645.9718471307891
1950-03-23,1551.7999137822214,459.0094616390469,142.70015281776588,899.1113403733696,1087.206600359473
1950-03-24,1215.5939568153108,412.6025107858592,781.9679446388951,1394.844611306577,1312.939742855025
1950-03-25,1355.1535950999562,11.455527768694576,494.0068482934488,786.8609855048835,1106.113334741894
1950-03-26,960.7346595907675,-188.7534949700091,1329.09751779576,448.337324769972,1126.879685586148
1950-03-27,-119.5695720266274,-18.01788426400045,3348.287160511131,1014.2483233814478,711.8687866806368
1950-03-28,-505.46581245826644,-121.49988159318431,2705.4206039557507,1272.4363211580835,-254.97875053426262
1950-03-29,-1168.2724581921407,-399.6380853233465,2079.87325989166,928.0847668599026,-612.9075684862025
1950-03-30,-1302.7706835962858,-396.7211254400191,92.36141240116375,1063.5046062737786,-451.37604968246563
1950-03-31,-1887.172138760014,-235.32545830455567,-2792.0265706630335,789.4171222388592,-535.5200426096781
1950-04-01,-2822.2663390316616,-214.82926984168483,-4439.875721217984,-194.90320257974327,-773.3148138887743
1950-04-02,-3589.6789609001066,-545.4592307522402,-4429.352215086431,-1928.928494430313,-1365.5468468081772
1950-04-03,-2680.7599063846014,-989.7242286220704,-1821.1560422636942,-1022.3258570187859,-1544.9894676932188
1950-04-04,-1689.2342036751163,-904.6143508234684,-1995.9301155743615,-714.3811566540605,-1750.832097398141
1950-04-05,-1227.0987146220452,-574.0136549704355,-1379.1097531212583,-504.6595770723406,-1765.499041546914
1950-04-06,-611.0542999052672,-402.8933870036438,-204.09633285704533,-439.16990916738087,-517.2550384155892
1950-04-07,1222.8016215809976,-68.5258383888353,-1532.4365944887143,-135.94762484818537,237.44753707655875
1950-04-08,740.0016978683908,312.92277764800053,-5405.647948056892,-791.7511892025933,476.9857209222595
1950-04-09,-1319.5978884581527,219.82646709366227,-5659.707281485024,-578.7311941944921,-91.34288223742969
1950-04-10,-1726.57668813723,-130.83503643724904,-4813.418965194122,-855.2692492901508,-922.3351169128232
1950-04-11,-1310.277752507137,-370.2227215714125,-3222.609413531602,-1408.050463069815,-1008.0243087685824
1950-04-12,-952.3763823625262,-220.91842093488117,-2150.155248350287,-1526.8167334691998,-451.64040214338473
1950-04-13,-686.6815009389849,-213.9952766591131,-1405.582483579531,-1143.2935261109096,-187.15688013016972
1950-04-14,-827.3037650637676,-329.7395742180963,-954.5440233050178,-586.4097696987427,-84.70454638800254
1950-04-15,-658.4791521445236,-242.12485962038997,-980.4472738867559,-75.58850631645024,203.28085430405625
1950-04-16,280.13206788561325,-15.02167896593664,-1250.9642201983775,-130.09137315905207,290.7079861011995
1950-04-17,347.1522390603224,157.30012953428957,-1533.2111497739631,-957.769067255552,263.15615193052014
1950-04-18,-399.0212973059871,-174.67000591276846,-765.5033809375215,-1393.880838250116,94.75644794409389
1950-04-19,-607.2516949598842,-535.0298381041819,-99.11623290759192,-230.88079518765664,240.36692622034963
1950-04-20,50.37410178722229,-380.1778905222644,-1363.4631627240167,142.57607932216266,510.98861933211543
1950-04-21,379.738745207947,-118.91860789537098,-778.6369707433411,708.6334859012151,607.3335444883096
1950-04-22,-429.9874253784509,-28.920966874277934,5.782358322921637,1050.3572755478274,96.57289010364975
1950-04-23,-1409.1440151751028,-286.7739020774886,-778.9031554584408,433.67007429741665,-741.0988443370873
1950-04-24,-1446.6114243151123,-366.93879460342845,-995.816094312555,-778.2273460506826,-1145.5999467870085
1950-04-25,-1278.5477522985293,-240.98496895902937,-1359.9234006419317,-1147.4923470022477,-703.9277210474555
1950-04-26,-537.111433084665,-10.084137308414608,-416.1431908270649,-869.1527620273312,-413.8699968335679
1950-04-27,-501.9934683557269,142.96248460055372,-549.8915548449295,232.62435777339678,-252.7761437957156
