,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1950-01-01,-2.9197963843348136,-10.122415992500635,-2.0132799991104995,-19.725161032212924,-4.993001541101067
1950-01-02,-1.8820659777532893,-8.335222021691422,-2.857776641531552,-19.300299324217917,-6.642741209284994
1950-01-03,1.122947645165781,-3.869864462516551,-3.2285961086730173,-25.169306704445635,-10.032402609189104
1950-01-04,0.5302305486894929,-5.208774918926079,-0.8711794217922152,-30.905821201678908,-12.629847884154268
1950-01-05,-0.9439811294124555,-8.284502557902561,-0.22254703996048208,-33.28668243911383,-14.450822151894675
1950-01-06,0.4117015844036564,-10.502907542203229,-2.0456501811697136,-33.259137382694696,-15.646575041332413
1950-01-07,1.6327902480678216,-10.769136611725939,-2.022049307437214,-34.3941421543524,-15.32429526878735
1950-01-08,2.3080609209123124,-12.343548213277817,-1.1909755618993465,-35.802081825292284,-13.524717078234431
1950-01-09,2.9257149615750424,-12.189564956238346,-1.844269719221435,-33.4312450064888,-15.549509645186141
1950-01-10,1.0440548889479393,-17.764408860031505,-2.088760863881163,-31.58850336399391,-14.877593393570695
1950-01-11,-0.5976032074375695,-21.69391105500489,-2.093796742112152,-20.117486235544394,-10.04330880361047
1950-01-12,-1.3422623650567103,-17.208261474974904,-3.545503758882216,-15.706992266673952,0.3799843863713831
1950-01-13,0.3199497643919054,-15.185694560638296,-4.890223604043523,-5.14523051411777,5.162647926102278
1950-01-14,1.7899964874454988,-9.469449996293214,-5.97096218585118,2.0600169114486357,2.1792775353331733
1950-01-15,3.007941919774717,-1.789545007047334,-5.862644800303029,-6.270270005928878,-3.0927965905659534
1950-01-16,2.245133370344406,1.385643415491504,-4.811989904058249,-20.084094453543326,-9.58817300928872
1950-01-17,0.33394541571056957,-3.561452185722251,-3.8553011848885728,-23.625576090223007,-13.39090865481456
1950-01-18,-2.760501578841063,-12.357107161238067,-2.7608693411306486,-20.526756311570487,-12.245349328727176
1950-01-19,-6.410497215423533,-13.8283552593906,-3.164748096857041,-12.960617827635549,0.05846727335509443
1950-01-20,-7.513909208764646,-12.674324844358946,-3.481623557028467,-0.7207284774333876,5.388591364527853
1950-01-21,-6.410803970564599,-9.954837018292297,-3.0549766211632594,-2.3636414082173234,6.2366952006826395
1950-01-22,-6.105884574465632,-11.699515997335157,-3.416340942224424,-2.4795261857132185,6.415317872376146
1950-01-23,-7.605507735296914,-13.106300203568555,-3.352714260001757,6.150507482449526,5.4292320052075915
1950-01-24,-9.371886621124562,-7.74789452029088,-3.6872590760912107,8.437264324416553,5.002159479655597
1950-01-25,-8.154861987245733,-2.9327967516030236,-4.569461335981339,8.160285905492955,5.093198173833126
1950-01-26,-6.261901525727876,-3.3972366070389843,-5.06857400197972,6.297652579612807,2.5341472390045303
1950-01-27,-4.9274051413114925,-4.485001210925735,-5.3247856528133575,3.5684510136318526,0.4912875255806222
1950-01-28,-5.135188471966699,-5.736998575854406,-5.276271568615015,0.6654775501502472,-3.3738421165841888
1950-01-29,-6.832958608458124,-8.561098134421258,-4.074732354444028,-7.564605836079794,-1.148307768915835
1950-01-30,-7.535989834607512,-11.04818940629004,-3.088244550266032,-10.405254209733316,-0.4242949415021701
1950-01-31,-6.1351457250254064,-12.400760191702666,-2.8405980625072917,-0.42684226876324416,0.6214380618525057
