,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1950-01-01,-6.472151092802814e-05,-0.0002004756396893761,0.00012516473428830557,4.948154950325758e-05,-5.903669857712775e-05
1950-01-02,7.433150491462937e-05,-0.0001974425720519364,-8.015563492100513e-07,3.188536096853222e-05,-8.591297806074101e-05
1950-01-03,5.810237496858422e-05,-0.00016571491676745684,-2.1489548360831254e-05,-2.171187132315067e-05,-0.0001865027847512459
1950-01-04,2.1746345192648498e-05,-0.00016913619658206027,-5.559283952696356e-05,1.553560518943895e-05,-0.00012284633645943225
1950-01-05,3.2745576833279736e-05,-0.00012517862719105865,-0.00010681834994222935,3.251024339264493e-05,0.0002185801712169385
1950-01-06,6.385766976646306e-05,-0.00014462981106886085,-0.00010549607851276918,-2.0172911151697914e-05,0.00034351664319409454
1950-01-07,2.3668641321638733e-05,4.247215531865728e-06,-7.674520399279866e-05,-5.592585956155234e-06,-4.9928012004919466e-05
1950-01-08,1.356978887276828e-06,0.0002780859818242612,-0.00013650645706017237,1.892364617457843e-06,3.0339243476639165e-05
1950-01-09,-1.1197923284785626e-05,7.112966613367302e-05,-0.0001416672917875109,-2.9097638335249373e-06,-2.6829821925461984e-05
1950-01-10,-1.832418457145589e-05,-0.00017150994406747716,-0.00011240359798890651,1.0386974100443062e-05,-9.979630539121718e-05
1950-01-11,2.130074045497219e-06,-0.00017607780159757913,-4.1362792512361876e-05,-5.71118619705031e-06,-7.786480316022498e-05
1950-01-12,4.7633521509597255e-05,-0.00016429286544665178,-8.232241804799697e-05,2.279810426494279e-06,-5.292673704258158e-05
1950-01-13,-4.2573861961555816e-05,-6.330799333298772e-05,-9.254584038911386e-05,1.4659875173473796e-05,2.2203337376697482e-05
1950-01-14,-3.974324425930952e-05,-2.719992643967644e-05,-0.0001281949515890005,-1.1813727576375252e-05,-6.888379382474179e-05
1950-01-15,2.559208031165194e-05,-0.00010082355954315063,-0.00012010751042726116,-1.3688420136315564e-05,7.979545878606832e-05
1950-01-16,6.689444870826064e-05,-7.023003709430149e-05,-0.00011669548283625845,-2.6509353062351893e-05,-0.0001761511559025005
1950-01-17,-2.65539635624845e-05,-0.00010110136228619729,0.00020116533271591634,-4.2494307007977834e-05,-0.000280175260640299
1950-01-18,-5.4016235156587425e-05,-0.0001499476694591506,0.00045098048667792975,-1.794413062545771e-05,-0.00012028759907927361
