,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5
1950-01-01,-390.7884186193903,-768.9792009606605,1561.3473958217605,-359.99631365688583,2945.3280531340256
1950-01-02,-1558.6991501782668,-901.8320803887711,189.30101102532385,-148.13157803762482,2946.468408564843
1950-01-03,-2588.474011198656,-1224.9977577971313,167.2972730944317,-384.9091658486748,2576.3828974943517
1950-01-04,-2873.8618514549894,-1721.328159951974,59.73284032449122,-531.9240442605009,1559.8352011810643
1950-01-05,-2920.5414828373964,-1896.4067107663757,-682.0023378333199,-377.2515502754505,-737.8490674735414
1950-01-06,-2296.15001419475,-1094.392452746912,-1511.978044890393,-320.25887074167684,-1605.1917099810507
1950-01-07,-1390.721000679802,-403.06589242995335,-547.5549960379515,-55.69963179101715,-353.6155794385381
1950-01-08,-949.2936711612386,-514.2569793639561,1022.526547087395,187.6503984551224,-92.66223941311624
1950-01-09,-1209.33960930898,-580.2393966861091,1782.5576588694723,324.2710915812236,539.3149941108314
1950-01-10,-659.7820677235741,-738.9510868922379,1576.3398320744307,533.4131895223709,2764.6571033069386
1950-01-11,321.6171139727022,-1177.8143197190977,1894.9453404727267,723.4020532029331,3162.2121381535608
1950-01-12,786.8530778739256,-1415.2626288752078,1096.2211699221737,755.0428941293414,2842.4637557538676
1950-01-13,185.3037935433531,-1468.6153647416431,676.6926381015229,765.6845881785332,2572.066641027627
1950-01-14,-753.4874010787,-1332.0721714545334,480.86379180279533,1061.884198827172,2701.1599779378726
1950-01-15,-952.3695450301489,-1122.7471072846563,-685.4778214570746,1110.5273514382816,992.4594994907434
1950-01-16,-1607.5030615859102,-716.7598618242035,142.4651868370447,391.44687471552584,-226.9576795575138
1950-01-17,-1068.3335250567611,-234.502320204585,2057.0621036152884,-611.2173004515964,1384.721711557486
1950-01-18,434.87834219197407,-46.94613896210333,3143.589938050618,-908.0695103280688,2371.125243416208
1950-01-19,1394.159403816163,-173.85061766328573,4274.1683940154435,-1117.2423745803917,1926.8543161306286
1950-01-20,1462.9820912725268,-749.1994052712844,4293.879407144295,-1182.9614827672142,1067.3545375415276
1950-01-21,1552.6951334600428,-1315.6945475448656,3557.173106485988,-1158.3984288834013,1379.5596725430817
1950-01-22,2028.459495066034,-1399.1574077457879,2966.020101576268,-1407.2903649629495,1359.677680430155
1950-01-23,2860.503044807134,-936.8253163961506,2571.5475052443826,-1633.1186675229883,884.0960337394947
1950-01-24,3120.820032981106,-622.4391140635566,2095.5760574886363,-1564.264303812528,-5.152233634303162
1950-01-25,2790.55737016384,-576.9291467842195,2265.3448545846027,-1124.3160018374683,-789.4606363474343
1950-01-26,2099.909965010448,-770.8896986510742,2089.329057193217,-789.5565701848551,-719.7403454057932
1950-01-27,1684.1560963267482,-1099.6716470237732,2406.179249433552,-831.4947245129491,-4.116236068875382
1950-01-28,1155.542017757524,-1291.3039081257682,3148.5767318236867,-1234.0706185241854,-540.1479050477211
1950-01-29,726.2744001516552,-1074.98561679413,2831.172649183156,-869.7143539486073,-1170.6632122118654
1950-01-30,1013.0658641276183,-684.1733465383561,1759.1610735126383,-524.5925044715038,-1864.8664152589315
1950-01-31,1228.728325177038,-715.6709054152599,1214.9743000011642,-410.37132048152176,-2512.3510020125336
1950-02-01,1325.9901870304489,-814.077817899497,262.9851262236253,-372.92563109883343,-2592.2589987807837
1950-02-02,1832.870137736837,-750.7693385577326,-299.31928377113456,-213.72707982746456,-3119.9290258956053
1950-02-03,1864.810143582812,-1093.056800100711,-500.955478820515,64.78164311284745,-3774.4367306907166
1950-02-04,1804.0034568057251,-1374.661698971197,-1192.9717375624498,75.78188790550968,-3455.529170006248
1950-02-05,1187.8746009850838,-1163.99947340867,-1413.9831569516155,277.5519108492137,-3778.1972651709266
1950-02-06,473.81572875796286,-401.9818781944377,-1817.183812219315,75.05863986838895,-2538.7569962266525
1950-02-07,35.43932567454287,469.7569698799786,-1485.8458984104197,219.605746055765,-1138.336101575603
1950-02-08,-443.93550561305693,523.9448278736961,-1768.1517872044321,446.23097177189743,-2564.2047365612348
1950-02-09,-720.2341704107897,-39.924463992800916,-1909.4556452342204,338.8051048933523,-777.9565315729443
