,z500World_cluster1,z500World_cluster2,z500World_cluster3,z500World_cluster4,z500World_cluster5
1950-01-01,-131.73703159384968,561.904888019714,1818.2370140540825,1470.531012728058,548.0265835921784
1950-01-02,-138.99573393729105,594.5278104640377,873.3466161996802,1383.994597560751,695.3498105989821
1950-01-03,-133.58188010976602,734.7412832932293,964.8443863791563,1187.894263012402,608.0844363945822
1950-01-04,-146.05630539718692,752.9846698509267,1047.1637825686844,898.4907352943569,316.69418477624293
1950-01-05,-145.29139037951938,946.9528705345462,579.9468914586696,476.8197763854437,-258.5613704630975
1950-01-06,-141.76222669687016,1472.1116387923832,135.7461947793874,297.53506439140506,-208.71317994728778
1950-01-07,-95.85954415160369,1402.3852009296013,386.33421823373436,291.25470358846457,-449.10942115560306
1950-01-08,-85.2140304636396,1189.0742062574118,587.0934763468149,330.1191008136523,-428.04670184685466
1950-01-09,-114.80186846930368,1326.8733579239633,762.8346397707004,267.36279983990397,-227.83851125045734
1950-01-10,-100.69326631025653,1271.3533242053743,848.7806984908204,274.0327731525748,-9.61125494761737
1950-01-11,-87.78545342937787,1040.8753024934629,728.2411225167118,142.34114958089793,82.82757576386035
1950-01-12,-93.63841846624848,402.653847942244,662.8599632655821,45.856744700663576,433.17048005447396
1950-01-13,-89.24081778415498,96.1318685576661,173.12687055871604,134.88962845238743,97.6579513723597
1950-01-14,-70.36409745592992,112.66180052409872,154.7737961066853,159.47234819679812,-389.9749918249511
1950-01-15,-66.74331521272418,-55.526700080497946,474.77500281465643,52.19317459208864,-99.73572089625014
1950-01-16,-66.98025102981433,86.93231747333725,609.3865180506607,-25.00805562177051,287.0832929663238
1950-01-17,-38.70889238930467,231.83310127629824,43.10858350541848,-56.09456564729258,-54.9586827811816
1950-01-18,-31.162225236706092,90.1033689849129,-398.82953896559707,-95.65517227444548,-229.40501835695164
1950-01-19,-40.824216605400046,-110.47452426912355,-800.0091702119817,173.12840682248995,-283.80984136790505
1950-01-20,-18.1360989340495,-67.40212268446268,-761.0010333008631,372.18498398147364,-726.057372726065
1950-01-21,-25.113687453147165,-249.39717209584245,-774.0083733523546,400.9360937953676,-877.2918318036641
1950-01-22,-60.81120161296587,-17.200942099871046,-1093.760248352316,323.5305824762823,-1160.8719247312738
1950-01-23,-74.79721291828201,-197.18629141362152,-1012.8439103885595,279.94130760468926,-1350.1817884863212
1950-01-24,-79.96889800846762,-591.3779432286227,-1200.2484114971373,311.72865309170925,-1098.9591822314756
1950-01-25,-122.4588797274533,-298.367552851129,-925.9587854241947,449.81599466583737,-533.109099574186
1950-01-26,-115.04984790106555,167.42409619300557,-561.0208085441162,661.8095910051895,-629.2723403284117
1950-01-27,-88.3112060341547,607.4627736106683,-155.1142498368593,798.8640876754838,-1119.878400640192
1950-01-28,-95.58818749106247,586.4344046215285,870.9412880510426,689.234989489956,-1159.3078984541112
1950-01-29,-105.67017704684817,352.6233108428166,649.882055224345,651.3804716086631,-268.37148594576263
1950-01-30,-111.21632686346499,331.55290975961015,405.02481766642836,538.5689105191476,-483.7488615589124
1950-01-31,-114.67687449885395,254.8373184277536,309.19093179770687,349.81052787050686,-855.2891633138048
1950-02-01,-81.94432136938951,-183.12553364551786,56.86551989566167,225.03525310541323,-889.9474749847534
1950-02-02,-58.79159957814923,-397.17988644178797,277.97055845374234,185.30017114387354,-869.7489825648431
1950-02-03,-54.60235860785372,-597.714043241743,628.65537035415,15.08891354930854,-616.6258459498881
1950-02-04,-76.55091883970053,-550.346203976637,32.4093593493347,-151.79166342294164,-417.2371410327489
1950-02-05,-107.47463560368323,-528.0993145901349,-784.6740468599755,-240.67511510633346,-221.0077936841539
1950-02-06,-120.4128702013532,-566.167493628962,-1223.633093421293,-285.1456020058082,-48.952592776824225
1950-02-07,-141.01676048076214,-403.3810940725567,-880.409798697924,-267.75286436494576,141.5657363083907
1950-02-08,-154.91763546020474,-577.180703169915,-64.58861140008214,-175.8359048654927,369.06750392395725
1950-02-09,-143.52417437594835,-721.8582191857755,636.9154079572725,-152.37921026006921,416.0148405444416
1950-02-10,-127.64329728211695,-501.23712158661056,656.5329847564548,-146.9446067707462,642.0071086234859
1950-02-11,-124.2943708388627,-477.5659505350876,188.5042961793452,-179.7171644088926,801.6235901429905
1950-02-12,-107.61923887540152,-284.1882057298023,-414.6527059243837,-125.58945774205051,833.7029253352233
1950-02-13,-110.3043118598644,15.497227540066898,-727.1178491022987,-136.8998622953916,455.6552162148136
1950-02-14,-96.92713913073835,60.76975870540881,-985.9098027711193,-247.542655265744,-42.28874732644445
1950-02-15,-75.5612461157414,-160.2129633463092,-1004.7965139437057,-311.8650564781805,-463.75925678175116
1950-02-16,-89.07463960964387,-532.6541500719561,-772.6034598396689,-368.0216195503944,-806.1010768128765
1950-02-17,-94.98492565160147,-782.1983164676242,-1113.3361263989045,-370.3950984342485,-853.753944549793
1950-02-18,-144.6278532047192,-838.5781584943037,-1256.057709656308,-438.5331010648208,-1012.0775823798688
1950-02-19,-145.48267994432703,-727.211818660119,-1263.350477792535,-393.60838610889755,-1208.9852578313273
1950-02-20,-166.8534703971068,-766.4315106801457,-1682.4284221788869,-298.0736643394899,-1088.2184841133828
1950-02-21,-159.89161769986384,-506.01382386489485,-2122.44198494049,-54.17924551394581,-647.4579532485379
1950-02-22,-165.94766756955224,-496.5240062839401,-1619.514741030704,-224.4626040357744,-38.44265762761198
1950-02-23,-149.0521129837762,-380.7685432681272,-1162.4476147595915,-59.40114112819583,183.56939172087948
1950-02-24,-146.31754868242018,-682.5632849667405,-774.1069589364366,-154.02239123129917,117.11261691150469
1950-02-25,-135.85264827508874,-602.4855827883744,-501.97027466111035,-275.6372365384611,-205.4011580839874
1950-02-26,-128.9342896376092,-791.40008142174,-605.9937857310565,-521.0258082727074,-596.1206422907626
1950-02-27,-106.51666146371178,-1022.5605502253612,-781.7583185776059,-461.5190200443376,-771.5993345021396
1950-02-28,-93.95468227840941,-747.3870550152262,-711.2580715962849,-115.15261029625307,-676.9660937978701
1950-03-01,-129.8888527084262,-294.7956157910443,-804.0714299022086,10.718904657210643,-887.0563219684088
1950-03-02,-122.36549616931033,-240.40590778833518,-532.1180880334991,11.518649847267824,-1069.5527013475191
1950-03-03,-133.29391006876554,262.90272397063546,-524.7319983768527,47.630946183612025,-1457.044012807325
1950-03-04,-136.3649693318619,548.3168015146763,-92.47828670731887,107.88340599175977,-1751.5240682022643
1950-03-05,-137.14744212553438,169.783172343129,447.24219597031833,-90.28993486525032,-1420.5195670177955
1950-03-06,-137.74547207171327,-49.779088667873005,763.6356956813253,-122.68191765340711,-590.3876505899046
1950-03-07,-138.4391184407133,-8.170206725973143,1585.4860165217622,-30.377428223321022,624.2882730651222
1950-03-08,-120.00203277439013,-7.400194963128547,1379.322964872633,-112.228511427603,1063.273023171415
1950-03-09,-116.97521859317352,78.20607603023491,438.9050512998096,80.42719399411918,1285.3888358840825
1950-03-10,-149.88720176174482,20.772092551647212,47.64893759098761,83.96287271111198,1269.141080345815
1950-03-11,-173.19809530490502,-59.03215103628403,724.2982297002628,95.72885957634695,1560.602917380483
1950-03-12,-188.72568861849712,-0.8734233158813752,1545.0335789158964,287.1789602539947,1830.8951305539167
1950-03-13,-179.51390222339836,-121.39681193207326,1774.6916266428702,161.39980437548465,2112.3635893447436
1950-03-14,-157.08129367753668,-56.1626086162374,1671.9234912812885,-78.2024157831418,2124.3339627469572
1950-03-15,-133.71626976583553,-420.7059954530646,1287.9501738261163,-357.6305386033155,1758.0070060383282
1950-03-16,-122.99079881007783,-479.2959979054433,412.8749647914075,-597.3500323368838,1094.9137463185275
1950-03-17,-140.8725743108906,-236.9060844894814,-361.0921957197922,-761.5029903750419,500.04638923962324
1950-03-18,-102.1171457965927,-311.6936947418856,-994.0567457534602,-733.0228150926102,141.71583855516903
1950-03-19,-67.04291837327395,-55.04424378050218,-1828.7231615812605,-509.6186544040276,-69.04126640810165
