,mslEurope_cluster1,mslEurope_cluster2,mslEurope_cluster3,mslEurope_cluster4,mslEurope_cluster5
1950-01-01,1823.0078,-1114.5391,427.39062,1716.3906,951.89844
1950-01-02,912.1172,-519.1875,783.7031,986.6953,-541.35156
1950-01-03,828.1406,-320.64062,1277.8828,457.875,-1960.625
1950-01-04,1117.7188,-605.66406,1117.2266,125.24219,-1687.4375
1950-01-05,1280.4766,-351.76562,619.78125,-918.1875,-1623.8203
1950-01-06,1578.2891,-197.375,17.023438,-1014.875,-624.6797
1950-01-07,1952.6797,44.078125,-42.070312,-513.7969,342.48438
1950-01-08,1849.6172,265.78906,1036.1016,-254.48438,827.84375
1950-01-09,2790.1484,-39.242188,963.2422,-187.05469,-133.64844
1950-01-10,3430.0781,-323.14062,-258.01562,816.9844,1401.2578
1950-01-11,2730.9844,-243.95312,-158.10156,1349.2188,2277.6484
1950-01-12,614.65625,150.89062,-320.375,1858.0938,2166.375
1950-01-13,-852.3125,633.5,-1026.0391,1044.2891,1287.4062
1950-01-14,-602.1719,840.8828,-557.33594,1167.9688,-731.46875
1950-01-15,422.3125,935.9922,-1482.1641,487.97656,-1200.9141
1950-01-16,915.2656,368.71094,394.3125,-33.59375,-2055.9219
1950-01-17,2016.2344,-371.10938,2264.9062,896.39844,-203.44531
1950-01-18,2453.6719,-636.7344,1549.0,1818.9062,1836.5234
1950-01-19,1424.3828,-662.6875,2182.414,1866.2656,2367.9922
1950-01-20,1746.1406,-531.3047,2300.3047,1648.9766,962.97656
1950-01-21,1954.0078,-675.22656,1895.0312,1624.2031,-22.46875
1950-01-22,1922.2422,-1160.1172,1395.9453,1473.1016,1544.9375
1950-01-23,2110.4531,-1590.4688,1367.4297,1194.7422,2176.789
1950-01-24,2045.0156,-901.75,1017.3047,850.7422,1800.6719
1950-01-25,1954.2969,-365.4297,2680.5625,473.5625,1793.625
1950-01-26,3082.7734,-205.33594,1985.5469,540.3672,1604.5938
1950-01-27,3417.0312,-315.67188,1457.5312,828.4219,1040.875
1950-01-28,2968.1797,-648.2578,1730.5156,647.2656,672.1172
1950-01-29,2909.9844,-553.6328,1981.7031,144.47656,257.28125
1950-01-30,3174.3516,-234.48438,1545.6484,-561.5,1255.3984
1950-01-31,2790.2578,-163.85156,1383.3672,-994.96094,1583.5156
