,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
1950-01-01,417.8672,1296.8438,1254.3438,-308.5547,-150.53906
1950-01-02,584.6719,1048.6562,1767.5,123.53906,-187.46094
1950-01-03,1164.8594,788.0703,1365.2188,820.6797,-224.90625
1950-01-04,850.35156,756.4844,272.0625,1152.125,-134.35938
1950-01-05,723.85156,274.21875,-762.1172,949.28906,-32.429688
1950-01-06,291.0078,296.47656,-553.7969,2249.8828,-71.42969
1950-01-07,-107.4375,98.74219,-141.95312,2396.6562,-53.15625
1950-01-08,62.671875,153.25781,-77.3125,2226.8984,-71.1875
1950-01-09,-178.77344,240.08594,-205.53125,2240.6797,14.265625
1950-01-10,-435.9453,195.98438,-321.1875,1277.8906,147.42969
1950-01-11,-508.1875,-78.24219,238.63281,-323.90625,226.98438
1950-01-12,-255.85156,-21.320312,663.5469,-823.3281,164.16406
1950-01-13,-72.99219,160.6875,381.0547,-235.45312,129.46875
1950-01-14,-162.28125,53.085938,782.96094,-283.41406,95.28125
1950-01-15,-545.34375,-125.796875,1313.5391,-577.5,27.929688
1950-01-16,124.16406,-50.59375,1038.2422,-412.1797,95.359375
1950-01-17,892.9844,-114.49219,72.015625,117.66406,-49.273438
1950-01-18,1300.9219,-328.4375,-115.859375,493.96875,-264.70312
1950-01-19,1916.6484,305.08594,-7.046875,-162.53906,-179.78906
1950-01-20,1717.5781,655.85156,-487.89844,-160.42188,-55.0625
1950-01-21,1097.4062,399.3047,-335.39062,-275.91406,-30.515625
1950-01-22,58.476562,382.34375,-784.66406,331.1797,-57.359375
1950-01-23,-1282.125,155.69531,-844.15625,-187.67969,-105.546875
1950-01-24,-1141.4609,243.85938,-617.6328,-1415.0469,-86.38281
1950-01-25,-993.02344,415.67188,-13.109375,-1138.0625,77.125
1950-01-26,-193.71875,628.3281,313.8828,-726.39844,76.28906
1950-01-27,343.60156,855.84375,35.78125,150.71875,37.28125
1950-01-28,-386.8047,567.125,-1823.5781,296.0625,-22.78125
1950-01-29,-142.70312,528.09375,-894.9531,-502.35156,-80.765625
1950-01-30,13.1171875,562.09375,-1036.1641,-305.26562,-92.6875
1950-01-31,-248.99219,415.07812,-1266.2578,-208.47656,-28.117188
1950-02-01,403.3203,190.59375,-1411.0,-1543.6875,22.84375
1950-02-02,1042.4766,94.17969,-404.85156,-1640.1562,-7.4140625
1950-02-03,1163.7344,-645.5,-155.85938,-1141.2656,35.0625
1950-02-04,415.40625,-784.0156,-1221.8281,-920.1406,90.453125
1950-02-05,532.1094,-477.91406,-1324.1406,-1195.5156,133.07031
1950-02-06,90.796875,-407.14062,-88.265625,-1307.6797,116.484375
1950-02-07,-836.5156,-437.89062,454.5078,-903.9375,14.359375
1950-02-08,-475.3828,-209.09375,1002.91406,-1429.2188,-6.4609375
1950-02-09,-188.41406,-227.35156,1586.4297,-2572.1328,-27.992188
1950-02-10,-144.47656,-71.24219,1644.1016,-959.2656,-81.17969
1950-02-11,357.29688,-9.1484375,1355.2734,-357.5078,-145.13281
1950-02-12,726.5547,139.83594,760.875,-167.20312,-197.77344
1950-02-13,718.3125,-5.8671875,532.65625,196.21875,-168.16406
1950-02-14,444.71875,-203.97656,21.085938,208.33594,-75.859375
1950-02-15,-300.52344,-145.61719,1.2734375,125.69531,-24.78125
1950-02-16,-1158.125,-223.5625,464.78125,-109.36719,-80.10156
1950-02-17,-995.5078,-268.0547,262.98438,-489.5625,-94.63281
1950-02-18,-834.90625,-357.54688,-42.109375,-165.98438,31.070312
1950-02-19,-1071.7422,-538.1328,-682.53906,-69.53906,60.398438
1950-02-20,-349.25,-32.210938,-1318.9766,45.296875,65.55469
1950-02-21,445.65625,978.1094,-2019.3047,1122.1094,75.55469
1950-02-22,-124.8125,382.96094,-1498.75,1294.4219,-5.171875
1950-02-23,-246.33594,413.27344,-495.91406,525.52344,-20.1875
1950-02-24,-4.0,462.76562,-17.875,-709.14844,92.24219
1950-02-25,537.40625,28.507812,-809.8047,-783.96094,24.28125
1950-02-26,206.8125,-504.0547,-877.78906,-1872.3359,-10.2734375
1950-02-27,-927.97656,-185.4375,-497.3203,-1980.0703,42.601562
1950-02-28,-1391.2656,566.0781,166.57812,-778.14844,67.65625
1950-03-01,-1701.6328,594.8281,147.41406,418.6328,52.054688
1950-03-02,-1145.8359,638.0781,-669.1406,295.5625,85.50781
1950-03-03,-503.15625,809.0078,-3273.0234,1332.0625,31.179688
1950-03-04,-258.4375,556.7969,-2043.1641,1554.4922,3.3984375
1950-03-05,260.51562,40.5625,-1832.125,1361.1875,-31.820312
1950-03-06,379.09375,202.47656,-593.375,1019.7578,-80.125
1950-03-07,588.4531,315.07812,999.9297,559.03125,-63.4375
1950-03-08,1119.1875,138.14844,1348.1797,630.0156,21.4375
1950-03-09,1429.3281,700.15625,422.96875,1694.125,-27.3125
1950-03-10,980.125,199.08594,56.515625,1919.3438,-101.00781
1950-03-11,877.02344,-29.75,1375.0703,1789.7109,-48.15625
1950-03-12,712.8906,638.9844,2304.0547,1258.0,99.359375
1950-03-13,620.8125,255.57812,2713.4844,976.0156,85.96875
1950-03-14,429.0625,140.35156,2739.8047,752.35156,54.960938
1950-03-15,442.8203,-77.515625,2005.9531,-305.15625,62.867188
1950-03-16,607.3906,-186.97656,753.5078,-720.91406,134.90625
1950-03-17,1309.8438,-99.41406,-193.53125,287.89844,203.89844
1950-03-18,980.8281,-738.22656,-1133.0625,620.8281,129.19531
1950-03-19,91.16406,-472.76562,-3045.7812,793.53125,236.82031
1950-03-20,201.3125,697.5469,-2702.6797,999.0781,267.17188
1950-03-21,230.79688,1233.9922,-2022.0781,1748.1484,221.64844
1950-03-22,-737.9453,884.40625,-2153.3281,972.6094,141.45312
1950-03-23,-1651.2734,-496.95312,-1678.9141,507.78125,76.453125
1950-03-24,-1565.9219,441.1328,-377.0625,603.60156,6.921875
1950-03-25,-1343.5312,1003.8281,441.35156,505.35938,7.5078125
1950-03-26,-1185.4531,1368.8438,265.51562,908.8906,-42.617188
1950-03-27,-419.6172,624.4453,529.7969,623.3203,-99.0625
1950-03-28,-2.7265625,939.0078,817.0156,518.6328,-125.8125
1950-03-29,133.88281,752.7344,119.9375,-244.42969,-57.796875
1950-03-30,-747.1875,214.78125,-263.97656,-823.4375,-32.242188
1950-03-31,-784.53125,599.5703,-432.89844,-910.3906,-18.929688
1950-04-01,343.83594,636.53906,-591.4922,-261.9922,-90.890625
1950-04-02,865.33594,706.71875,-25.859375,307.625,-90.00781
1950-04-03,454.66406,158.64062,396.9375,-43.210938,-13.609375
1950-04-04,-204.99219,750.1406,644.7969,120.19531,46.304688
1950-04-05,-1776.4609,1426.5391,639.65625,14.046875,39.359375
1950-04-06,-2490.0156,1153.2891,71.53125,149.49219,33.296875
1950-04-07,-2332.086,471.15625,-567.4453,1630.6953,74.453125
1950-04-08,-2069.6406,-57.445312,-83.22656,-1227.2656,24.867188
1950-04-09,-1804.0,-172.5,1003.7656,-2785.039,16.921875
