,olrNorth_Atlantic_cluster1,olrNorth_Atlantic_cluster2,olrNorth_Atlantic_cluster3,olrNorth_Atlantic_cluster4,olrNorth_Atlantic_cluster5
1950-01-01,8.664215,-18.824005,31.386383,-6.450348,8.090195
1950-01-02,8.045181,-13.956406,30.80455,-5.886017,0.9977875
1950-01-03,16.595306,-8.964279,-5.4018707,-7.540283,-11.321991
1950-01-04,3.3388977,-10.503143,-14.053268,-8.82431,-14.975693
1950-01-05,-3.4838257,-14.244965,2.0037994,-11.924164,0.87831116
1950-01-06,24.405106,-9.890091,-4.87265,-15.2508545,12.82132
1950-01-07,29.790283,4.9256744,-23.776398,-13.468292,-6.697464
1950-01-08,81.06354,2.76091,-15.0941925,-15.192566,-12.36853
1950-01-09,44.454666,-6.893509,0.49217224,-6.8915405,-18.698715
1950-01-10,-5.63208,-8.975082,1.844162,-2.6279297,3.5669403
1950-01-11,5.0841064,-6.089325,-12.846741,0.5421448,-6.506851
1950-01-12,7.7411346,-15.971283,-17.489014,49.820816,-28.224289
1950-01-13,8.23381,-9.727203,-11.835602,23.506317,-0.9421234
1950-01-14,10.366928,-5.2082214,-4.926346,8.367706,-12.991013
1950-01-15,5.9483795,5.4970093,-1.8968353,-5.663971,6.9207306
1950-01-16,8.322311,-8.390137,-11.171661,8.036316,-0.83784485
1950-01-17,38.787308,-11.379852,-6.467911,7.6547546,-18.820847
1950-01-18,10.208801,-2.6686096,-5.3775787,3.4617004,-4.0433197
1950-01-19,-3.5548096,-5.7227325,-10.685547,-5.324341,-14.924423
1950-01-20,-9.550537,4.399887,-4.2656555,-10.680542,-21.359558
1950-01-21,-4.519043,-2.8796387,-0.32389832,-12.969116,-30.9525
1950-01-22,17.758545,5.2188416,-5.464691,-11.531464,-20.543396
1950-01-23,-1.9720764,6.9400177,7.0040436,-12.301086,-26.059921
1950-01-24,-3.283844,10.611267,-4.224304,-13.714478,-28.148026
1950-01-25,10.413803,9.81752,2.9330444,-14.519287,-24.548187
1950-01-26,8.687607,3.6753387,8.387283,-9.979828,-6.8800354
1950-01-27,23.830063,0.45561218,2.0792236,-6.014374,-14.22644
1950-01-28,60.329605,6.553528,-11.63736,2.4880981,-15.9748535
1950-01-29,49.827698,-0.23234558,49.124985,-7.9549255,-2.9645996
1950-01-30,23.450272,-14.120804,59.071075,-0.666687,-6.94664
1950-01-31,39.364243,-6.933731,44.098557,2.6037903,-1.4225311
1950-02-01,20.534927,-8.820587,9.290176,-3.8942566,-0.17919922
1950-02-02,20.490005,0.55970764,15.157959,-5.1329346,2.4743347
1950-02-03,13.933838,-6.917984,56.23915,-5.610016,14.364258
1950-02-04,39.798843,3.6205902,0.31802368,-7.806488,-15.03566
1950-02-05,43.60103,-4.258545,-4.551117,-9.905884,5.617279
1950-02-06,65.697754,-15.115982,-5.7019043,15.6085205,-8.453369
1950-02-07,35.514633,-4.5154724,-0.86001587,18.998138,-9.179642
1950-02-08,39.755722,-9.357834,-3.4076233,6.516693,-10.778748
1950-02-09,19.841309,-6.153946,-6.003998,2.3248596,35.88513
1950-02-10,18.50383,-3.7578125,-6.4690857,3.3569946,-2.7312317
1950-02-11,28.282364,2.204193,-12.25177,5.027466,26.834442
1950-02-12,-0.8869934,2.331726,-12.334961,5.1431885,-4.4133606
1950-02-13,16.30458,6.104553,-1.7765808,0.9270935,-4.6729126
1950-02-14,14.405869,11.771118,3.5379333,-1.0552673,-7.4381104
1950-02-15,15.837753,5.5889587,7.382019,-4.777405,18.00145
1950-02-16,38.662674,4.233017,-5.3981323,-6.405731,23.991028
1950-02-17,4.122864,12.162567,-3.2247314,-10.128113,8.286362
1950-02-18,12.29689,7.4277344,-2.206726,-9.257233,6.564209
1950-02-19,5.4877625,16.883865,2.042389,-10.328217,-10.580765
