,olrWorld_cluster1,olrWorld_cluster2,olrWorld_cluster3,olrWorld_cluster4,olrWorld_cluster5
1950-01-01,18.57634,30.1958,-2.8153687,8.984055,-17.588593
1950-01-02,31.723389,21.980713,-10.218155,-0.37908936,-14.470978
1950-01-03,-1.5611725,-37.070877,-8.725357,11.936523,-10.60141
1950-01-04,11.03157,-38.25435,-7.044739,-28.319595,-10.4348755
1950-01-05,-30.958755,-17.72348,-6.2472534,-43.94388,-16.68628
1950-01-06,-16.026382,-39.59807,-4.2006836,-28.015228,-20.858307
1950-01-07,19.543152,-27.674316,-4.7008057,-43.69594,-21.893585
1950-01-08,-10.892212,-49.906677,-4.3298492,-20.371765,-14.886932
1950-01-09,-50.0,-52.472916,-3.8692322,-36.21849,-15.803253
1950-01-10,-15.433121,-51.88939,-2.8157043,-40.219803,-19.417755
1950-01-11,-21.86644,-56.318985,-3.2170258,-44.430893,-21.704193
1950-01-12,-1.072403,-53.958527,-3.2294617,-20.811096,-26.439209
1950-01-13,-1.0754395,-45.4144,-3.2202759,42.350143,-25.814423
1950-01-14,2.195282,-50.440353,-4.3300476,-16.162674,-23.99289
1950-01-15,-6.291046,-52.354675,-4.291626,-29.881638,-27.65567
1950-01-16,-30.285553,-39.707214,-4.0825043,-1.7565155,-29.71408
1950-01-17,-4.92424,-13.215454,-2.7759552,22.110718,-32.22702
1950-01-18,-1.6072388,-23.563034,-2.4002228,8.468369,-29.957092
1950-01-19,-10.469589,-30.470963,-0.050430298,56.992874,-28.516174
1950-01-20,-27.302414,-27.29486,0.74720764,46.5493,-25.53543
1950-01-21,31.379486,-37.77884,0.03640747,41.95633,-19.43277
1950-01-22,39.93666,-56.724243,-0.49765015,21.037628,-17.067902
1950-01-23,-0.96998596,-53.354965,-1.4014282,23.84642,-11.233612
1950-01-24,-14.902573,-33.113922,-1.6266785,-11.113052,-9.930786
1950-01-25,-20.438416,-26.528732,-2.1716156,-43.173615,-3.8174438
1950-01-26,-36.78984,-3.9432526,-1.846283,-33.268387,-4.390045
1950-01-27,-10.140701,-30.883072,-1.6716156,-9.785721,-5.0560303
1950-01-28,-0.28189087,-58.846268,-2.097412,37.664276,-8.802124
1950-01-29,-20.908432,-24.781555,-1.8781433,-16.98552,-16.121063
1950-01-30,-31.21019,-35.173553,-1.8275146,-27.045944,-16.3031
1950-01-31,-19.371918,4.6818542,-2.8400574,-29.218506,-18.164124
1950-02-01,-4.711838,10.622711,-3.1655273,-38.24495,-18.714966
1950-02-02,-9.529205,15.850739,-2.378769,-22.782135,-21.520996
1950-02-03,13.416748,67.783325,-3.691391,-27.853134,-24.240082
1950-02-04,-38.435486,61.390366,-3.7175293,-6.4071198,-24.321777
1950-02-05,-36.11078,-14.212448,-1.9699097,-29.30217,-24.9469
1950-02-06,-10.281677,24.137985,-6.27684,-38.771454,-25.980164
1950-02-07,-1.5744019,-12.316528,-1.0619049,-48.230453,-24.432922
1950-02-08,15.117065,-24.365417,-5.3834076,-21.842377,-25.20523
1950-02-09,9.843918,14.661407,-9.113937,-33.17102,-24.146027
1950-02-10,-14.397171,-29.163712,-8.071945,7.934494,-20.242798
1950-02-11,-14.069641,-36.755936,-6.7141266,30.232208,-21.105377
1950-02-12,-10.58844,-36.982452,-6.985672,6.3045807,-19.708008
1950-02-13,-16.039078,21.157425,-6.7733,-32.4812,-16.943604
1950-02-14,1.0649261,4.5573425,-0.8352814,-37.75766,-17.30017
1950-02-15,8.786819,-20.309128,-1.9381561,-38.00171,-18.318878
1950-02-16,-15.993256,-15.923294,-2.745636,1.2291565,-18.556122
1950-02-17,-17.218704,-9.775665,0.9260254,98.00032,-15.933838
1950-02-18,14.06575,-26.5728,0.6572876,85.699265,-15.342926
1950-02-19,30.22934,-30.040573,1.0234528,67.79202,-19.189209
1950-02-20,41.348053,-37.723663,1.3936768,61.639145,-15.423309
