,sicArtic_cluster1,sicArtic_cluster2,sicArtic_cluster3,sicArtic_cluster4,sicArtic_cluster5
1950-01-01,0.021787286,0.15665412,0.047263086,0.0094919205,0.032743156
1950-01-02,0.021754146,0.15569782,0.047638476,0.0095950365,0.032811224
1950-01-03,0.021823585,0.1547986,0.04822749,0.009698987,0.032871008
1950-01-04,0.021992385,0.15383184,0.048933744,0.009755611,0.032843232
1950-01-05,0.022128165,0.15314096,0.04956591,0.009751618,0.032687843
1950-01-06,0.0222525,0.15237771,0.050086737,0.009691894,0.03255266
1950-01-07,0.02237457,0.15176655,0.05053568,0.00973773,0.03199464
1950-01-08,0.02265513,0.15133044,0.05111444,0.009767532,0.031226873
1950-01-09,0.022948384,0.1506672,0.05152428,0.009809792,0.030409276
1950-01-10,0.023150384,0.14989784,0.051893353,0.009810269,0.029549122
1950-01-11,0.023424387,0.14921148,0.052218676,0.0097776055,0.028554201
1950-01-12,0.023638725,0.14876348,0.052381754,0.009788692,0.027582645
1950-01-13,0.023744524,0.14815925,0.052742064,0.009865582,0.026715755
1950-01-14,0.023810148,0.14740315,0.052788258,0.0098769665,0.025797904
1950-01-15,0.023789585,0.14705034,0.05262816,0.0098596215,0.02497989
1950-01-16,0.02365464,0.14714621,0.052146852,0.009978473,0.024910033
1950-01-17,0.023522973,0.14739752,0.05156535,0.010019004,0.024876475
1950-01-18,0.023284078,0.14706,0.051095903,0.010087311,0.024948537
1950-01-19,0.023086011,0.14666009,0.05075425,0.010198474,0.024953306
1950-01-20,0.022910893,0.14643446,0.050492883,0.010363877,0.024974227
1950-01-21,0.022746444,0.14625487,0.050196826,0.010500193,0.02500999
1950-01-22,0.022609234,0.14606838,0.049918532,0.010655582,0.025113523
1950-01-23,0.022467732,0.14567623,0.04981208,0.010799468,0.025374353
1950-01-24,0.022377193,0.14529462,0.050077915,0.01096344,0.02563113
1950-01-25,0.022239208,0.14523822,0.05017817,0.011131406,0.025816083
1950-01-26,0.02213645,0.14499909,0.05012703,0.011166871,0.025673032
1950-01-27,0.0220685,0.14434999,0.049703777,0.011220515,0.025449097
1950-01-28,0.022016406,0.14364302,0.049152732,0.011395991,0.025142252
1950-01-29,0.021937907,0.1433105,0.04851055,0.0116170645,0.024778783
1950-01-30,0.021882236,0.14269036,0.047976673,0.011784315,0.024386227
1950-01-31,0.021914303,0.14209823,0.047686458,0.011989832,0.023959935
1950-02-01,0.02189082,0.14139436,0.04764402,0.012092292,0.023381293
1950-02-02,0.021832228,0.14041625,0.04721296,0.012210965,0.022762239
1950-02-03,0.021772325,0.1393849,0.046539903,0.012339115,0.022211254
1950-02-04,0.021726668,0.13797925,0.04581207,0.012495577,0.021721661
1950-02-05,0.021657884,0.1368389,0.044994473,0.012596965,0.021278739
1950-02-06,0.021570385,0.13594998,0.04415387,0.012642205,0.020736635
1950-02-07,0.021374166,0.1350779,0.043290734,0.01257962,0.020226479
1950-02-08,0.021092772,0.1343666,0.04250586,0.012491107,0.019741893
1950-02-09,0.020870209,0.13379377,0.04172808,0.012524366,0.01918459
1950-02-10,0.02060008,0.13338244,0.040850163,0.012620628,0.018617988
1950-02-11,0.020308495,0.13263671,0.040007174,0.012620509,0.018069029
1950-02-12,0.020015001,0.13197441,0.039026916,0.012574375,0.01761347
1950-02-13,0.01981771,0.13173966,0.03846419,0.012526035,0.01717192
1950-02-14,0.019734144,0.13172622,0.038229585,0.012481093,0.016798079
1950-02-15,0.01971531,0.13201533,0.038324356,0.012356281,0.016904056
1950-02-16,0.019775331,0.13248149,0.03832847,0.012271941,0.017484426
1950-02-17,0.0199157,0.13279106,0.038309753,0.012197256,0.018150985
1950-02-18,0.019980371,0.13317843,0.038210988,0.012058914,0.018825531
1950-02-19,0.019997299,0.13338788,0.038027883,0.011821389,0.019610107
1950-02-20,0.020075738,0.13339849,0.037924647,0.011590958,0.02037853
1950-02-21,0.020130873,0.13327031,0.03809637,0.011425495,0.021104991
1950-02-22,0.020141542,0.13352112,0.038330674,0.011291146,0.021721601
1950-02-23,0.02005136,0.13374414,0.038179994,0.011122644,0.022319674
1950-02-24,0.019981861,0.13359752,0.038112223,0.010920882,0.022891223
1950-02-25,0.01992929,0.13378263,0.038066983,0.010839105,0.023451328
1950-02-26,0.019883156,0.13435532,0.038009763,0.010742009,0.024012089
1950-02-27,0.019864142,0.13515809,0.03817737,0.010507524,0.024790406
1950-02-28,0.019915998,0.13546272,0.0384354,0.010372758,0.025593698
1950-03-01,0.020070672,0.13591446,0.038419068,0.0101799965,0.026202679
1950-03-02,0.020236135,0.1363089,0.038247705,0.010116398,0.026162267
1950-03-03,0.020386219,0.13692507,0.038116097,0.010014057,0.026148379
1950-03-04,0.020424306,0.13775119,0.03792429,0.009963453,0.026036263
1950-03-05,0.020377576,0.1388016,0.037756562,0.009870827,0.02597934
1950-03-06,0.020323932,0.1399105,0.037793815,0.009748876,0.025941312
1950-03-07,0.020219505,0.14099157,0.037684143,0.009696722,0.025964677
1950-03-08,0.020090282,0.1421078,0.03733629,0.009717047,0.02589947
1950-03-09,0.020020604,0.14333908,0.036941826,0.009778619,0.025880694
1950-03-10,0.019911826,0.1445516,0.036453843,0.009737849,0.025858045
1950-03-11,0.019788325,0.14550795,0.035903335,0.00964427,0.02592504
1950-03-12,0.019742787,0.14636894,0.035537124,0.009567201,0.026019752
1950-03-13,0.019723296,0.14722356,0.035148084,0.009419799,0.026084125
1950-03-14,0.019648254,0.147691,0.034624875,0.0092659,0.026128411
1950-03-15,0.019539535,0.14790249,0.034086823,0.009103417,0.026150405
1950-03-16,0.019450724,0.14809974,0.033563673,0.009010792,0.026125193
1950-03-17,0.019332707,0.14828171,0.03320551,0.008899689,0.026070297
1950-03-18,0.019194424,0.14908624,0.033521652,0.0087375045,0.02645576
1950-03-19,0.019052565,0.14967555,0.03389579,0.00862962,0.026932776
1950-03-20,0.018958211,0.15029816,0.03447354,0.008595765,0.027353942
1950-03-21,0.01886791,0.15108816,0.035138547,0.008643925,0.027764559
1950-03-22,0.018743932,0.15196995,0.035483778,0.00863421,0.028321862
1950-03-23,0.01858294,0.15256485,0.03597182,0.008524001,0.028965533
1950-03-24,0.018456817,0.15308845,0.036664665,0.008486927,0.029480457
1950-03-25,0.018311143,0.153783,0.037320435,0.00842756,0.030007422
1950-03-26,0.018177688,0.15435606,0.03799349,0.008328974,0.030579448
1950-03-27,0.018173337,0.15516853,0.038906693,0.008275151,0.03125918
