,sm1Europe_cluster1,sm1Europe_cluster2,sm1Europe_cluster3,sm1Europe_cluster4,sm1Europe_cluster5
1950-01-01,-0.01030013,-0.0008253325,0.024940476,-0.0059527457,-0.012870513
1950-01-02,-0.008152202,-0.0009417124,0.018083975,-0.006595254,-0.014378145
1950-01-03,-0.0031746626,-0.0010197945,0.0132558495,-0.0069158077,-0.015718982
1950-01-04,-0.004611224,-0.00103187,0.009613469,-0.006282389,-0.016571566
1950-01-05,-0.0044325814,-0.0011570081,0.00680162,-0.0072865784,-0.01723057
1950-01-06,-0.003977783,-0.0011768509,0.004305795,-0.00818491,-0.017989941
1950-01-07,-0.005798273,-0.0009468384,0.0023394823,-0.008691579,-0.018158734
1950-01-08,-0.007733226,-0.0011299923,0.0006418228,-0.009162337,-0.018085822
1950-01-09,-0.009034954,-0.0010813177,0.027293503,-0.009768724,-0.018481873
1950-01-10,-0.009431355,-0.0010007508,0.023130864,-0.01013267,-0.019062683
1950-01-11,-0.009592257,-0.00055355206,0.01619561,-0.009429365,-0.02006115
1950-01-12,-0.010021135,-0.00035045482,0.012028754,-0.009642452,-0.020570807
1950-01-13,-0.010904461,-0.00039884076,0.008592412,-0.009958059,-0.020890623
1950-01-14,-0.011287279,-0.0005553402,0.0056343377,-0.010789335,-0.021138683
1950-01-15,-0.00927566,-0.00073727034,0.0029857308,-0.01121074,-0.021170884
1950-01-16,-0.0033311024,-0.00075641833,0.0010659844,-0.012637466,-0.020463765
1950-01-17,-0.0044987053,-0.0008232109,0.008431584,-0.013610929,-0.019502893
1950-01-18,-0.007295169,-0.0008584857,0.005901873,-0.013653725,-0.019050017
1950-01-19,-0.009798728,-0.00083515234,0.001762718,-0.013880879,-0.007155165
1950-01-20,-0.010797501,-0.0009091627,-0.00069205463,-0.014199704,0.0059495717
1950-01-21,-0.0108650625,-0.0009198431,0.005610138,-0.014538556,-0.0029858872
1950-01-22,-0.011201195,-0.0007827729,0.021823213,-0.01478827,-0.0067094937
1950-01-23,-0.011469319,-0.00073844194,0.01960297,-0.01470536,-0.00875923
1950-01-24,-0.01183407,-0.00072559156,0.0238823,-0.015084714,-0.009987213
1950-01-25,-0.011931829,-0.00076738,0.027110875,-0.015650302,-0.010736749
1950-01-26,-0.01227852,-0.0008684471,0.025318503,-0.016037464,-0.011383362
1950-01-27,-0.012267947,-0.0009820033,0.019538999,-0.0144634545,-0.01202818
1950-01-28,-0.012433387,-0.0010359082,0.014363885,-0.015014559,-0.01253365
1950-01-29,-0.01257769,-0.0011068378,0.010534242,-0.014932245,-0.013219379
1950-01-30,-0.012683913,-0.0011563227,0.008299425,-0.014675558,-0.013690859
1950-01-31,-0.0072699934,-0.0012426432,0.008179247,-0.014511883,-0.0141461715
1950-02-01,0.0063969567,-0.001301365,0.011047259,-0.0151566565,-0.015429184
1950-02-02,0.007985763,-0.0013904646,0.0065273345,-0.015528619,-0.015702307
1950-02-03,0.010908909,-0.0014499035,0.0035557896,-0.016234398,-0.016007014
1950-02-04,0.0075918958,-0.0015040189,0.011534423,-0.016123623,-0.016376168
1950-02-05,0.007609725,-0.0015648194,0.0112363845,-0.017106712,-0.016668424
1950-02-06,0.010701269,-0.0016205925,0.005853802,-0.017926157,-0.016440675
1950-02-07,0.0058588237,-0.0016719494,0.0032207072,-0.018696845,-0.0047482476
1950-02-08,0.0077773184,-0.0017273277,-0.00028657913,-0.019166172,0.016984075
1950-02-09,0.0061290935,-0.0018760376,-0.0030280054,-0.01983285,0.012200721
1950-02-10,0.012081899,-0.001857616,-0.006110385,-0.020237386,0.009108938
1950-02-11,0.0069300383,-0.0018010326,-0.008695275,-0.020748973,0.0038095117
1950-02-12,0.0075464174,-0.0017987434,-0.010529697,-0.015372932,0.0002424568
1950-02-13,0.012931161,-0.0018006973,-0.011169001,-0.0060479343,-0.0032482818
1950-02-14,0.009365372,-0.0017468929,-0.0094323605,-0.0022904873,-0.006697178
1950-02-15,0.008586325,-0.001782421,-0.013839558,0.0034191608,-0.009545065
1950-02-16,0.0039238185,-0.0018461477,-0.018135726,0.00050234795,-0.011542812
1950-02-17,0.00097296387,-0.0017648395,-0.022483528,-0.0029688478,-0.013494708
1950-02-18,-0.0012100637,-0.0017955508,-0.02749063,-0.004857421,-0.015190758
1950-02-19,-0.0023002326,-0.0018404163,-0.030454814,0.0061481,-0.016824178
1950-02-20,0.006668873,-0.0018794052,-0.03183262,0.002139002,-0.018402576
1950-02-21,0.008022912,-0.0019369181,-0.033295617,-0.0016023517,-0.019520745
1950-02-22,0.0040823296,-0.0019847192,-0.03472665,-0.004093796,-0.02005446
1950-02-23,0.0013493896,-0.0020469949,-0.0341253,-0.0057908595,-0.017948799
1950-02-24,0.009121746,-0.0021059252,-0.033598065,-0.007510811,-0.019736499
1950-02-25,0.010318689,-0.0021367148,-0.021899298,-0.008392513,-0.021433711
1950-02-26,0.005100906,-0.0022342782,-0.0017888099,0.01755181,-0.023051254
1950-02-27,0.001837112,-0.0021629222,-0.008027568,0.04636866,-0.0248838
1950-02-28,0.00077679753,-0.002193192,-0.009820029,0.04171607,-0.026684307
1950-03-01,-9.62466e-05,-0.0021854937,-0.01199916,0.05073461,-0.024878025
1950-03-02,-0.0012665763,-0.0021092072,-0.013096184,0.04156047,-0.02350282
1950-03-03,-0.002149038,-0.0021912195,-0.015116185,0.028067142,-0.017679386
1950-03-04,-0.0022172555,-0.0022675376,-0.01930672,0.02038759,-0.01033514
1950-03-05,-0.0036100224,-0.0023646615,-0.024251044,0.014782429,-0.013811648
1950-03-06,-0.004767619,-0.0024027862,-0.028914362,0.014530569,-0.017187469
1950-03-07,-0.00547754,-0.002439784,-0.033085033,0.016575754,-0.020494886
1950-03-08,-0.005478017,-0.0025188997,-0.03615223,0.012482107,-0.02326946
1950-03-09,-0.005343437,-0.0025886577,-0.03634052,0.007368833,-0.021600835
1950-03-10,0.00020073354,-0.0026641004,-0.030710429,0.004142225,-0.019549884
1950-03-11,-0.0017647818,-0.0027551558,-0.0284075,0.0013999641,-0.020083964
1950-03-12,-0.0012673587,-0.0027912948,-0.028036922,-0.0016258359,-0.016269445
1950-03-13,-0.0019043386,-0.002741918,-0.029848903,-0.0042527914,-0.018803105
1950-03-14,-0.0030226484,-0.002720328,-0.032259136,-0.006613642,-0.021224715
1950-03-15,-0.0035512522,-0.0026424937,-0.033566415,-0.008170575,-0.022976227
1950-03-16,-0.005129464,-0.0026761834,-0.02708885,-0.010249525,-0.024659775
1950-03-17,0.0020825267,-0.002797475,-0.02607806,-0.012046099,-0.02641166
1950-03-18,0.0027908161,-0.0007896349,-0.027647883,-0.014527619,-0.028278992
1950-03-19,-0.003031157,0.00966518,-0.029622242,-0.017208964,-0.029492892
1950-03-20,-0.0036570579,0.010501094,-0.032213017,-0.019940794,-0.02849821
1950-03-21,-0.00024403632,0.0069238394,-0.034228683,-0.022814304,-0.026240401
1950-03-22,-0.00010107458,0.0052880365,-0.036372304,-0.0037172139,-0.026686579
1950-03-23,-0.00043308735,0.00430966,-0.03889337,0.018018514,-0.023853615
1950-03-24,0.008393943,0.0032846145,-0.042021647,0.005854428,-0.020547777
1950-03-25,0.0024044216,0.0033942722,-0.044230923,-0.001988262,-0.01716771
1950-03-26,-0.0007534474,0.0033247378,-0.044815317,-0.0072959363,-0.004021354
1950-03-27,-0.0033174828,0.0039890334,-0.03885387,-0.01033619,-0.0008166805
1950-03-28,-0.005539447,0.0033568237,-0.020432577,-0.013470948,-0.0055888593
1950-03-29,-0.0060733557,0.0022685546,0.010629922,-0.015938967,-0.010771848
1950-03-30,-0.006189853,0.0015334338,0.026393175,-0.018340379,-0.01515086
1950-03-31,-0.0073629394,0.00090922415,0.018616796,-0.011197448,-0.011455812
1950-04-01,-0.0074962527,0.0003424175,0.008616999,0.015688062,0.0027016848
1950-04-02,0.00051058084,0.00062217563,5.8829784e-05,0.045002222,0.0085985735
1950-04-03,0.0033642203,0.005926717,-0.005050808,0.0482291,0.0022245124
1950-04-04,0.0006246492,0.007854342,-0.008801997,0.04471445,0.0021639615
1950-04-05,-6.7800283e-07,0.0070525557,-0.012429833,0.050062776,0.004167989
1950-04-06,-0.0017551333,0.0055128373,-0.012597144,0.04420942,0.010783508
1950-04-07,-0.0049538612,0.0028953515,-0.012503922,0.036019564,0.007861592
1950-04-08,-0.0083917305,0.0015421547,-0.017728612,0.034780294,0.009004377
1950-04-09,-0.0053342953,0.000572484,-0.023714125,0.031443954,0.01449877
1950-04-10,0.0029432848,-3.693998e-05,-0.029430509,0.028253227,0.013983518
1950-04-11,0.008322194,0.002603177,-0.030429378,0.025879294,0.0106199235
1950-04-12,0.008121736,0.0016450919,-0.029068813,0.024205118,0.0064472705
1950-04-13,0.00665351,0.0027294569,-0.02508393,0.030595332,0.0015121624
1950-04-14,0.00789237,0.0052462667,-0.024645284,0.027677119,-0.0027648509
1950-04-15,0.008310437,0.008760601,-0.025817111,0.02910304,-0.0057810917
1950-04-16,0.003578879,0.008448593,-0.027995199,0.023614794,-0.009018317
1950-04-17,0.0002803728,0.0074528754,-0.030164957,0.018562675,-0.010999002
1950-04-18,-0.0017529503,0.00666555,-0.03080745,0.005760759,-0.013328925
1950-04-19,0.0005217269,0.009389065,-0.03004919,0.008654207,-0.015775315
1950-04-20,-0.0018045753,0.008116275,-0.032931715,0.004306376,-0.018551
1950-04-21,-0.0062070712,0.005958304,-0.036088824,0.011197925,-0.021955296
1950-04-22,-0.008960903,0.005016338,-0.039314866,0.0152694285,-0.025340334
1950-04-23,-0.009911701,0.0036252365,-0.04231987,0.0034942627,-0.0280234
1950-04-24,0.004652612,0.00083084777,-0.044818826,-0.005222827,-0.030611388
1950-04-25,0.0104135275,0.00092034787,-0.04659611,-0.010394156,-0.03337498
1950-04-26,0.016940556,0.00051220506,-0.046830326,-0.012641817,-0.035784774
1950-04-27,0.020170718,-0.0001418814,-0.046352573,0.04780546,-0.038341694
1950-04-28,0.022772834,0.0035902075,-0.047407113,0.027824402,-0.04030267
1950-04-29,0.018037558,0.0042324476,-0.04918705,0.019701064,-0.04117564
1950-04-30,0.016590051,0.0031519197,-0.051412396,0.01803875,-0.040075183
1950-05-01,0.011774316,0.0013934933,-0.053131692,0.0088404715,-0.039438218
1950-05-02,0.012554079,-0.00046739355,-0.05490675,0.0020066798,-0.037172757
1950-05-03,0.010086834,-0.00078264996,-0.05594878,-0.004145086,-0.03660792
1950-05-04,0.00879927,-0.0007481426,-0.05680076,-0.010885447,-0.017777205
1950-05-05,0.011260919,-0.0034421813,-0.056935363,-0.017862916,0.009276755
1950-05-06,0.025243208,-0.005104309,-0.05330389,-0.024890363,0.008574948
1950-05-07,0.0173079,-0.0060162973,-0.050679713,-0.0308263,0.01880166
1950-05-08,0.013483696,-0.0062841494,-0.05119451,-0.03513679,0.0052121878
1950-05-09,0.010370918,-0.0059640296,-0.051492386,-0.029409021,-0.003957495
1950-05-10,0.004798986,-0.005605435,-0.05145473,-0.02000168,-0.01012405
1950-05-11,-0.00142885,-0.0057416838,-0.050272338,-0.007919788,-0.014628097
1950-05-12,-0.00621631,-0.0053985324,-0.012582168,0.0016888678,-0.018306546
1950-05-13,-0.010120109,-0.005021535,-0.01204823,-0.00096172094,-0.02176392
1950-05-14,-0.013306804,-0.0051393844,-0.015995279,-0.008955389,-0.025128402
1950-05-15,-0.015240185,-0.005188359,-0.017731175,-0.01901123,-0.027256332
1950-05-16,-0.016469937,-0.005001519,-0.020774692,0.025895983,-0.027997546
1950-05-17,-0.017784234,-0.0015482735,-0.023902208,0.0136933625,-0.03067889
1950-05-18,-0.008684687,-0.00052345917,-0.025261082,-0.0008440614,-0.03269718
1950-05-19,-0.006835215,-0.002355747,-0.027648441,-0.013821036,-0.0347454
1950-05-20,0.0035756454,-0.004157586,-0.03052058,-0.024860948,-0.032486
1950-05-21,0.00998643,-0.0056746695,-0.031147651,0.029750735,0.004482679
1950-05-22,0.012464091,-0.0071640853,-0.03171035,0.021328807,0.0025356635
1950-05-23,0.006862499,-0.006777985,-0.032957174,0.005324036,-0.0028555468
1950-05-24,0.025776625,-0.003698783,-0.03370417,0.047308058,-0.012404583
1950-05-25,0.019818082,-0.0047421455,-0.03371799,0.017846256,-0.021150738
1950-05-26,0.015473545,-0.0063135773,-0.033532,0.0014620721,-0.028286122
1950-05-27,0.010209568,-0.007741593,-0.033359088,0.0039144456,-0.032670934
1950-05-28,0.017774373,-0.008774938,-0.032512598,0.05547735,-0.03646658
1950-05-29,0.010089532,-0.010032899,-0.031024776,0.053785622,-0.037468877
1950-05-30,0.0035890937,-0.0062648095,-0.026485562,0.05439937,-0.039561164
1950-05-31,-0.0022113025,0.0059794653,-0.027196512,0.06875202,-0.041482005
1950-06-01,-0.008228712,0.007710155,-0.027186044,0.06545657,-0.043236647
1950-06-02,-0.013573214,0.0047725104,-0.026540838,0.049461186,-0.0440234
1950-06-03,-0.018130682,0.0026732963,-0.026188895,0.0365071,-0.044391207
1950-06-04,-0.022199236,0.0039285403,-0.025796294,0.026606202,-0.044424575
1950-06-05,-0.026194382,0.003149502,-0.02561745,0.012481034,-0.04493056
1950-06-06,-0.029577669,0.006930558,-0.025411926,0.027518898,-0.045585077
1950-06-07,-0.03232753,0.007548891,-0.024065524,0.027056128,-0.04565991
1950-06-08,-0.033826713,0.009280283,-0.023860551,0.009328902,-0.03750845
1950-06-09,-0.034379955,0.006053472,-0.023795508,-0.007020235,-0.030153308
1950-06-10,-0.034899723,0.014682667,-0.024113283,0.009671003,-0.032808658
1950-06-11,-0.035948284,0.011138156,-0.024264514,0.035122067,-0.03668535
1950-06-12,-0.037282463,0.009546483,-0.023985133,0.070815325,-0.03932083
1950-06-13,-0.03786183,0.006144028,-0.023786217,0.08559823,-0.036138438
1950-06-14,-0.03560617,0.0043454953,-0.023546457,0.066596836,-0.03516652
1950-06-15,-0.03140592,0.017556861,-0.0210286,0.04955229,-0.03860387
1950-06-16,-0.032122742,0.014675563,-0.02089516,0.03808391,-0.037919734
1950-06-17,-0.033595923,0.011387851,-0.020788617,0.029352307,-0.03568675
1950-06-18,-0.034419473,0.00883933,-0.020858288,0.068905026,-0.037606385
1950-06-19,-0.035393935,0.006502174,-0.020676777,0.07199344,-0.018084534
1950-06-20,-0.03103197,0.0040292814,-0.020035759,0.07019067,-0.02117017
1950-06-21,0.008841805,0.002123436,-0.019497797,0.04838258,-0.026324838
1950-06-22,0.024764389,0.000610074,-0.019412324,0.034326047,-0.031035714
1950-06-23,0.025265902,-0.00070626475,-0.019067347,0.023662865,-0.033345316
1950-06-24,0.017480902,-0.0019004438,-0.018613309,0.024950027,-0.035203263
1950-06-25,0.01181756,-0.003432176,-0.018605031,0.08060765,-0.03780722
1950-06-26,0.0074565187,-0.004844154,-0.017966524,0.06550962,-0.03950016
1950-06-27,0.0022073984,-0.0054910826,-0.017776877,0.0452967,-0.040571567
1950-06-28,-0.0010709986,-0.0059028994,-0.01788874,0.042701393,-0.042053048
1950-06-29,-0.006683193,-0.007856642,-0.017476447,0.06697601,-0.043214627
1950-06-30,-0.012283862,-0.009966314,-0.017280743,0.07289955,-0.043425772
1950-07-01,-0.016387254,-0.010553801,-0.016525105,0.05362466,-0.043713685
1950-07-02,-0.021065935,-0.0110565685,-0.01574158,0.04015404,-0.043657858
1950-07-03,-0.004169449,-0.011337722,-0.016070418,0.030526966,-0.04347009
1950-07-04,0.025612585,-0.010944253,-0.015700601,0.025785923,-0.042754184
1950-07-05,0.019901901,-0.010726061,-0.015422113,0.016312093,-0.042297147
1950-07-06,0.019923829,-0.00866498,-0.015672535,0.00681746,-0.04214833
1950-07-07,0.025224641,0.014238885,-0.015481956,-0.0012612641,-0.04150989
1950-07-08,0.016024597,0.013992086,-0.0150077045,0.015704691,-0.040298447
1950-07-09,0.0063210875,0.010664014,-0.014914267,0.062437654,0.019994654
1950-07-10,0.015142642,0.008085106,-0.0145820305,0.03842792,0.016039811
1950-07-11,0.021856658,0.008777194,-0.014844522,0.025906324,0.001957208
1950-07-12,0.017729253,0.0048986115,-0.014904939,0.017648607,-0.006550066
1950-07-13,0.0072633848,0.0015703198,-0.013618067,0.023448765,-0.0132933855
1950-07-14,0.0034523532,-0.0017213784,-0.013106428,0.048172027,-0.018871207
1950-07-15,-0.0015798137,-0.004843219,-0.013169996,0.045525074,-0.023242626
1950-07-16,0.0014666766,-0.0069053276,-0.01320415,0.034712344,-0.025738697
1950-07-17,0.0051322803,-0.008436735,-0.01310835,0.023521781,-0.02742837
1950-07-18,-0.0018892661,-0.009382178,-0.012795232,0.010293752,-0.028642181
