,sstNorth_Atlantic_cluster1,sstNorth_Atlantic_cluster2,sstNorth_Atlantic_cluster3,sstNorth_Atlantic_cluster4,sstNorth_Atlantic_cluster5
1950-01-01,0.1083374,-0.079589844,0.5736389,-0.535553,0.3265381
1950-01-02,0.1734314,-0.072021484,0.5783386,-0.5640564,0.3262024
1950-01-03,0.25457764,-0.06362915,0.5828552,-0.5901184,0.33096313
1950-01-04,0.31784058,-0.05633545,0.58444214,-0.61499023,0.32772827
1950-01-05,0.37823486,-0.05029297,0.58374023,-0.6394043,0.32199097
1950-01-06,0.43484497,-0.044647217,0.58444214,-0.66174316,0.3182068
1950-01-07,0.48623657,-0.039276123,0.5826416,-0.68167114,0.31430054
1950-01-08,0.5350952,-0.034057617,0.58206177,-0.6994934,0.3114624
1950-01-09,0.5781555,-0.028839111,0.5821228,-0.7121277,0.3086548
1950-01-10,0.61727905,-0.023284912,0.58081055,-0.7232361,0.30673218
1950-01-11,0.6508179,-0.018493652,0.5780029,-0.73049927,0.30358887
1950-01-12,0.67755127,-0.0146484375,0.5765991,-0.7331543,0.30160522
1950-01-13,0.69699097,-0.011077881,0.57458496,-0.7312927,0.2992859
1950-01-14,0.7124634,-0.0079956055,0.5726929,-0.724823,0.2960205
1950-01-15,0.71621704,-0.0059509277,0.56988525,-0.7140503,0.29293823
1950-01-16,0.7097473,-0.004180908,0.56414795,-0.7056885,0.30187988
1950-01-17,0.6990967,-0.0031738281,0.55755615,-0.6949768,0.2961731
1950-01-18,0.6853943,-0.0018005371,0.5491638,-0.68951416,0.28759766
1950-01-19,0.66729736,-0.0024719238,0.54156494,-0.6900635,0.2769165
1950-01-20,0.64682007,-0.0029907227,0.5307007,-0.6938782,0.26324463
1950-01-21,0.62475586,-0.0028381348,0.5193176,-0.70321655,0.24887085
1950-01-22,0.5994873,-0.002746582,0.5071411,-0.7173157,0.23202515
1950-01-23,0.5736389,-0.0038146973,0.49362183,-0.73495483,0.21359253
1950-01-24,0.5444336,-0.003967285,0.47937012,-0.7550049,0.19451904
1950-01-25,0.5154419,-0.005493164,0.4647827,-0.77838135,0.17547607
1950-01-26,0.48431396,-0.00579834,0.45062256,-0.8052368,0.15600586
1950-01-27,0.4520874,-0.0068359375,0.43328857,-0.8334656,0.13787842
1950-01-28,0.4196167,-0.0057678223,0.4161377,-0.86428833,0.11932373
1950-01-29,0.38705444,-0.005706787,0.39797974,-0.89678955,0.09838867
1950-01-30,0.35437012,-0.006439209,0.38031006,-0.9300842,0.07672119
1950-01-31,0.32110596,-0.006439209,0.3640442,-0.963562,0.056274414
1950-02-01,0.2886963,-0.006439209,0.34924316,-0.9979248,0.03555298
1950-02-02,0.2571106,-0.0064086914,0.3345337,-1.032196,0.016479492
1950-02-03,0.23040771,-0.0068969727,0.32214355,-1.0660706,-0.0024719238
1950-02-04,0.20507812,-0.0063476562,0.3113098,-1.0982971,-0.018798828
1950-02-05,0.18457031,-0.006286621,0.3022461,-1.1286011,-0.033691406
1950-02-06,0.16714478,-0.005645752,0.2927246,-1.157898,-0.04901123
1950-02-07,0.15234375,-0.0064086914,0.28744507,-1.1840515,-0.061279297
1950-02-08,0.14120483,-0.0064086914,0.282135,-1.206665,-0.0725708
1950-02-09,0.13217163,-0.006286621,0.27764893,-1.2279053,-0.08117676
1950-02-10,0.12844849,-0.005645752,0.27807617,-1.2441406,-0.08709717
1950-02-11,0.12612915,-0.0068969727,0.27972412,-1.2575378,-0.08944702
1950-02-12,0.12838745,-0.0068359375,0.2833252,-1.267334,-0.08859253
1950-02-13,0.13647461,-0.0065307617,0.290802,-1.270874,-0.08444214
1950-02-14,0.15045166,-0.007171631,0.30337524,-1.2718811,-0.078186035
1950-02-15,0.16738892,-0.007843018,0.31784058,-1.266449,-0.06863403
1950-02-16,0.18331909,-0.008514404,0.330719,-1.2591553,-0.06448364
1950-02-17,0.19500732,-0.009155273,0.34265137,-1.2488403,-0.060638428
1950-02-18,0.20526123,-0.009796143,0.3515625,-1.2373352,-0.059936523
1950-02-19,0.21044922,-0.010955811,0.35598755,-1.2241516,-0.06225586
1950-02-20,0.21072388,-0.011383057,0.35794067,-1.2082214,-0.06448364
1950-02-21,0.20770264,-0.011016846,0.35861206,-1.1900024,-0.067718506
1950-02-22,0.19882202,-0.009857178,0.35635376,-1.1720581,-0.071624756
1950-02-23,0.18652344,-0.009124756,0.35205078,-1.1516724,-0.0763855
1950-02-24,0.17068481,-0.008666992,0.3444214,-1.1315002,-0.08218384
1950-02-25,0.15670776,-0.0077209473,0.33480835,-1.1095886,-0.09036255
1950-02-26,0.14053345,-0.0068359375,0.32473755,-1.0885925,-0.10147095
1950-02-27,0.12371826,-0.0057373047,0.31259155,-1.0662537,-0.11477661
1950-02-28,0.10479736,-0.006011963,0.30108643,-1.044342,-0.1298523
1950-03-01,0.09414673,-0.005554199,0.29760742,-1.0198059,-0.14141846
1950-03-02,0.07385254,-0.006286621,0.28363037,-0.99975586,-0.16027832
1950-03-03,0.051605225,-0.006713867,0.269104,-0.98028564,-0.17922974
1950-03-04,0.03024292,-0.007171631,0.2550354,-0.9613342,-0.19824219
1950-03-05,0.0069274902,-0.007598877,0.2420044,-0.9437561,-0.21762085
1950-03-06,-0.01727295,-0.008087158,0.22924805,-0.92996216,-0.23684692
1950-03-07,-0.04019165,-0.008544922,0.21612549,-0.9168396,-0.2564087
1950-03-08,-0.06317139,-0.008178711,0.20370483,-0.905365,-0.2756958
1950-03-09,-0.082855225,-0.008850098,0.19232178,-0.8944397,-0.29483032
1950-03-10,-0.10134888,-0.008850098,0.18276978,-0.886261,-0.31240845
1950-03-11,-0.11621094,-0.008850098,0.17263794,-0.88067627,-0.33096313
1950-03-12,-0.12652588,-0.008850098,0.16738892,-0.87597656,-0.34786987
1950-03-13,-0.13452148,-0.008850098,0.16223145,-0.87268066,-0.3657837
1950-03-14,-0.13928223,-0.008605957,0.15753174,-0.87145996,-0.38168335
1950-03-15,-0.14282227,-0.00793457,0.1531372,-0.87368774,-0.39730835
1950-03-16,-0.14266968,-0.0072021484,0.15106201,-0.87976074,-0.41107178
1950-03-17,-0.14169312,-0.006378174,0.14956665,-0.8872986,-0.4215088
1950-03-18,-0.1385498,-0.005126953,0.14935303,-0.8941345,-0.42410278
1950-03-19,-0.1350708,-0.0050354004,0.14981079,-0.9013672,-0.41940308
1950-03-20,-0.13092041,-0.0044555664,0.14990234,-0.90704346,-0.40481567
1950-03-21,-0.12423706,-0.0039978027,0.15106201,-0.91122437,-0.3848877
1950-03-22,-0.11627197,-0.0038452148,0.15280151,-0.9143677,-0.3579712
1950-03-23,-0.105407715,-0.0038146973,0.15612793,-0.91586304,-0.3250122
1950-03-24,-0.092926025,-0.0038146973,0.16049194,-0.91638184,-0.2868042
1950-03-25,-0.080444336,-0.003753662,0.16644287,-0.9166565,-0.24450684
1950-03-26,-0.06970215,-0.0032043457,0.17364502,-0.9161377,-0.19689941
1950-03-27,-0.057403564,-0.0032043457,0.1802063,-0.9159241,-0.14764404
1950-03-28,-0.046905518,-0.0037841797,0.18792725,-0.91571045,-0.09503174
1950-03-29,-0.03741455,-0.0037841797,0.19540405,-0.9132385,-0.039001465
1950-03-30,-0.02645874,-0.0037231445,0.20339966,-0.9110718,0.020111084
1950-03-31,-0.015136719,-0.003540039,0.21063232,-0.90682983,0.08157349
1950-04-01,-0.0042419434,-0.0028381348,0.21847534,-0.9015198,0.14492798
1950-04-02,0.006378174,-0.002380371,0.22369385,-0.8974304,0.20742798
1950-04-03,0.017120361,-0.0018615723,0.22729492,-0.89035034,0.2704773
1950-04-04,0.027313232,-0.00076293945,0.231781,-0.88482666,0.3343506
1950-04-05,0.0362854,-0.0010070801,0.23483276,-0.8791809,0.3952942
1950-04-06,0.043792725,-0.00048828125,0.23800659,-0.874115,0.45455933
1950-04-07,0.051330566,-0.00033569336,0.24002075,-0.869751,0.51174927
1950-04-08,0.05532837,-0.0009460449,0.24124146,-0.8661194,0.5667114
1950-04-09,0.058776855,-0.0010070801,0.24188232,-0.86224365,0.6170654
1950-04-10,0.060150146,-0.0009460449,0.24081421,-0.8597107,0.66278076
1950-04-11,0.05911255,0.00012207031,0.23620605,-0.85769653,0.70428467
1950-04-12,0.05706787,-0.00091552734,0.23043823,-0.85598755,0.7369385
1950-04-13,0.05392456,-0.0012207031,0.22088623,-0.85446167,0.76416016
1950-04-14,0.049072266,-0.0014953613,0.21090698,-0.85372925,0.78411865
1950-04-15,0.042541504,-0.0022888184,0.199646,-0.855072,0.7956848
1950-04-16,0.034698486,-0.002319336,0.18591309,-0.857666,0.7991028
1950-04-17,0.028930664,-0.0012512207,0.17538452,-0.8588867,0.7941284
1950-04-18,0.02520752,-0.0014953613,0.16723633,-0.8609009,0.78045654
1950-04-19,0.027191162,-0.0023498535,0.16326904,-0.8616028,0.75775146
1950-04-20,0.028320312,-0.002532959,0.16061401,-0.8614807,0.7278137
1950-04-21,0.031463623,-0.0026855469,0.15948486,-0.86239624,0.69189453
1950-04-22,0.037475586,-0.0028076172,0.16070557,-0.861969,0.6477356
1950-04-23,0.043182373,-0.00289917,0.16394043,-0.86157227,0.59820557
1950-04-24,0.048858643,-0.003112793,0.16848755,-0.86083984,0.5463867
1950-04-25,0.058258057,-0.0035095215,0.17526245,-0.85943604,0.48883057
1950-04-26,0.069000244,-0.004058838,0.18283081,-0.8580322,0.42971802
1950-04-27,0.080841064,-0.0044555664,0.1899414,-0.8547058,0.3703003
1950-04-28,0.09207153,-0.0050964355,0.19714355,-0.8529968,0.30944824
1950-04-29,0.10720825,-0.0057678223,0.20639038,-0.85113525,0.24816895
1950-04-30,0.12036133,-0.006866455,0.21514893,-0.84902954,0.1878357
1950-05-01,0.13394165,-0.008361816,0.22402954,-0.84664917,0.12823486
1950-05-02,0.14764404,-0.010528564,0.23464966,-0.844574,0.06933594
1950-05-03,0.1618042,-0.0115356445,0.24536133,-0.8409729,0.011077881
1950-05-04,0.17669678,-0.01361084,0.2554016,-0.83792114,-0.04498291
1950-05-05,0.19198608,-0.016235352,0.26446533,-0.83270264,-0.09786987
1950-05-06,0.20733643,-0.017578125,0.27371216,-0.827301,-0.14871216
1950-05-07,0.22219849,-0.019470215,0.28167725,-0.82144165,-0.19671631
1950-05-08,0.23526001,-0.022277832,0.28900146,-0.8163452,-0.23947144
1950-05-09,0.24737549,-0.023834229,0.29641724,-0.81155396,-0.2763672
1950-05-10,0.2605896,-0.025970459,0.3041687,-0.80859375,-0.3072815
1950-05-11,0.268219,-0.028686523,0.31243896,-0.80526733,-0.32800293
1950-05-12,0.27697754,-0.03225708,0.3218689,-0.80322266,-0.33950806
1950-05-13,0.28460693,-0.03616333,0.33285522,-0.80358887,-0.34036255
1950-05-14,0.29071045,-0.041046143,0.34249878,-0.80307007,-0.32943726
1950-05-15,0.29327393,-0.048736572,0.35128784,-0.80300903,-0.3060913
1950-05-16,0.29281616,-0.057678223,0.35736084,-0.80358887,-0.27282715
1950-05-17,0.28955078,-0.0718689,0.36013794,-0.8043213,-0.24588013
1950-05-18,0.27996826,-0.08706665,0.35977173,-0.8024292,-0.22238159
1950-05-19,0.26474,-0.105651855,0.35595703,-0.8019409,-0.205719
1950-05-20,0.24832153,-0.12619019,0.35076904,-0.80166626,-0.1951294
1950-05-21,0.22793579,-0.14910889,0.34558105,-0.80355835,-0.19058228
1950-05-22,0.20477295,-0.17453003,0.33670044,-0.8058777,-0.19082642
1950-05-23,0.17651367,-0.20236206,0.3256836,-0.8070679,-0.19589233
1950-05-24,0.14614868,-0.23272705,0.31176758,-0.8098755,-0.2053833
1950-05-25,0.114990234,-0.26513672,0.2955017,-0.8109131,-0.21762085
1950-05-26,0.079589844,-0.2989502,0.2791443,-0.8112793,-0.23171997
1950-05-27,0.042999268,-0.33599854,0.26052856,-0.81256104,-0.24942017
1950-05-28,0.003967285,-0.37768555,0.2437439,-0.8130188,-0.26766968
1950-05-29,-0.03805542,-0.4223938,0.22503662,-0.8138733,-0.2883606
1950-05-30,-0.079833984,-0.4678955,0.20523071,-0.81433105,-0.31149292
1950-05-31,-0.12261963,-0.5142212,0.1843872,-0.8164673,-0.33496094
1950-06-01,-0.16436768,-0.5632019,0.16473389,-0.81811523,-0.35931396
1950-06-02,-0.2043457,-0.61294556,0.14538574,-0.8215027,-0.3847351
1950-06-03,-0.24499512,-0.6642761,0.12762451,-0.82525635,-0.4107666
1950-06-04,-0.28512573,-0.71481323,0.110198975,-0.82958984,-0.4359131
1950-06-05,-0.3239746,-0.76776123,0.0947876,-0.83218384,-0.4583435
1950-06-06,-0.36154175,-0.8251648,0.08126831,-0.8349304,-0.4750061
1950-06-07,-0.3965454,-0.8858948,0.07019043,-0.8373413,-0.49017334
1950-06-08,-0.43014526,-0.9483948,0.05810547,-0.8401489,-0.5036926
1950-06-09,-0.46118164,-1.0116882,0.047546387,-0.8433533,-0.5100708
1950-06-10,-0.4888916,-1.0794067,0.039276123,-0.8475647,-0.51223755
1950-06-11,-0.51104736,-1.1500854,0.03250122,-0.85220337,-0.5083008
1950-06-12,-0.53134155,-1.221405,0.026672363,-0.85458374,-0.49884033
1950-06-13,-0.54797363,-1.2948914,0.022491455,-0.856781,-0.48324585
1950-06-14,-0.55700684,-1.3686829,0.021331787,-0.85873413,-0.4631958
1950-06-15,-0.5574951,-1.4441528,0.022216797,-0.86065674,-0.43829346
1950-06-16,-0.55407715,-1.5331726,0.029541016,-0.8590088,-0.41888428
1950-06-17,-0.5455322,-1.6302795,0.03918457,-0.8564148,-0.4105835
1950-06-18,-0.53289795,-1.7239075,0.04937744,-0.85409546,-0.41177368
1950-06-19,-0.52072144,-1.8159485,0.06210327,-0.8472595,-0.4177246
1950-06-20,-0.50375366,-1.90625,0.07775879,-0.83984375,-0.43045044
1950-06-21,-0.4855652,-1.9980469,0.09396362,-0.8312378,-0.4508667
1950-06-22,-0.46289062,-2.0925903,0.111846924,-0.822052,-0.4784546
1950-06-23,-0.44073486,-2.1876526,0.13113403,-0.8119812,-0.5102539
1950-06-24,-0.41796875,-2.2805786,0.152771,-0.8008423,-0.5468445
1950-06-25,-0.39215088,-2.3739014,0.17504883,-0.7888489,-0.5864868
1950-06-26,-0.36523438,-2.467682,0.19869995,-0.7767334,-0.6289673
1950-06-27,-0.33517456,-2.5580444,0.22265625,-0.7633972,-0.6737976
1950-06-28,-0.30322266,-2.6479187,0.24472046,-0.7510071,-0.7218323
1950-06-29,-0.26885986,-2.737732,0.2677002,-0.7398987,-0.7721863
1950-06-30,-0.23422241,-2.8269653,0.29223633,-0.7311096,-0.82388306
1950-07-01,-0.20101929,-2.9142456,0.31585693,-0.7236023,-0.8748779
1950-07-02,-0.16903687,-2.999115,0.33798218,-0.7177124,-0.9258728
1950-07-03,-0.14031982,-3.0863953,0.3581848,-0.71151733,-0.9749756
1950-07-04,-0.1149292,-3.1737366,0.37442017,-0.7053528,-1.0242615
1950-07-05,-0.09277344,-3.2623901,0.3885498,-0.70144653,-1.071106
1950-07-06,-0.07284546,-3.3499756,0.40145874,-0.69696045,-1.1161804
1950-07-07,-0.0574646,-3.4342957,0.40930176,-0.6950989,-1.1584473
1950-07-08,-0.046020508,-3.519043,0.41207886,-0.69540405,-1.2003479
1950-07-09,-0.037475586,-3.6032715,0.40960693,-0.6979675,-1.2380981
1950-07-10,-0.032318115,-3.6831665,0.40460205,-0.7021179,-1.2722168
1950-07-11,-0.029571533,-3.7598877,0.3955078,-0.70996094,-1.3048096
1950-07-12,-0.029663086,-3.834137,0.3815918,-0.7223511,-1.334198
1950-07-13,-0.03326416,-3.899292,0.3630066,-0.7371216,-1.3614807
1950-07-14,-0.041809082,-3.9560852,0.33761597,-0.7548523,-1.3861694
1950-07-15,-0.057525635,-4.0019226,0.31079102,-0.77267456,-1.4035339
1950-07-16,-0.07064819,-4.028717,0.28945923,-0.7848511,-1.4081726
1950-07-17,-0.079437256,-4.059021,0.2750244,-0.7913208,-1.3974304
1950-07-18,-0.083343506,-3.9605408,0.2659607,-0.7929077,-1.3740845
1950-07-19,-0.08151245,-3.7899475,0.2628479,-0.78756714,-1.3360901
1950-07-20,-0.07711792,-3.5387268,0.26742554,-0.7779236,-1.2846375
1950-07-21,-0.07040405,-3.2129822,0.27774048,-0.76449585,-1.223114
1950-07-22,-0.05883789,-2.8511963,0.29205322,-0.7484131,-1.1533508
1950-07-23,-0.043884277,-2.505188,0.3121338,-0.72836304,-1.0787964
