,sstWorld_cluster1,sstWorld_cluster2,sstWorld_cluster3,sstWorld_cluster4,sstWorld_cluster5
1950-01-01,-0.20809937,-0.05722046,-0.028656006,-0.93414307,-0.5791626
1950-01-02,-0.18444824,-0.07357788,-0.030548096,-0.91134644,-0.6062927
1950-01-03,-0.14764404,-0.08413696,-0.03262329,-0.88616943,-0.6300354
1950-01-04,-0.11959839,-0.097076416,-0.03463745,-0.86395264,-0.6563721
1950-01-05,-0.09100342,-0.11236572,-0.037384033,-0.8432007,-0.68081665
1950-01-06,-0.06436157,-0.12713623,-0.03967285,-0.82321167,-0.7028198
1950-01-07,-0.038970947,-0.14294434,-0.04208374,-0.8057251,-0.7235718
1950-01-08,-0.016357422,-0.15771484,-0.044769287,-0.79019165,-0.74176025
1950-01-09,0.0026550293,-0.17376709,-0.047821045,-0.776062,-0.75857544
1950-01-10,0.019500732,-0.18933105,-0.05050659,-0.7633972,-0.7718811
1950-01-11,0.03338623,-0.20358276,-0.053741455,-0.7543335,-0.78167725
1950-01-12,0.044525146,-0.21716309,-0.05731201,-0.7480469,-0.78775024
1950-01-13,0.052734375,-0.2290039,-0.06137085,-0.74191284,-0.79122925
1950-01-14,0.05697632,-0.24145508,-0.06573486,-0.7391968,-0.7921448
1950-01-15,0.09719849,-0.25375366,-0.071014404,-0.73776245,-0.7896118
1950-01-16,0.5342407,-0.26831055,-0.07550049,-0.7674866,-0.78790283
1950-01-17,0.53125,-0.27426147,-0.08001709,-0.76678467,-0.7807617
1950-01-18,0.5218506,-0.27511597,-0.083984375,-0.76434326,-0.7729187
1950-01-19,0.5098877,-0.26953125,-0.08950806,-0.7619324,-0.766449
1950-01-20,0.49450684,-0.25949097,-0.094696045,-0.7574768,-0.75912476
1950-01-21,0.47717285,-0.24337769,-0.09970093,-0.7536926,-0.7525635
1950-01-22,0.45770264,-0.22259521,-0.10430908,-0.7493286,-0.7446289
1950-01-23,0.4338379,-0.19717407,-0.109954834,-0.7467041,-0.7364197
1950-01-24,0.40722656,-0.16723633,-0.11505127,-0.7437439,-0.72909546
1950-01-25,0.37902832,-0.13409424,-0.12158203,-0.74194336,-0.7201843
1950-01-26,0.35116577,-0.09954834,-0.12716675,-0.7388611,-0.7119751
1950-01-27,0.32269287,-0.0625,-0.13363647,-0.7362976,-0.7046814
1950-01-28,0.29507446,-0.024810791,-0.13873291,-0.73269653,-0.6979675
1950-01-29,0.26602173,0.012237549,-0.14517212,-0.72946167,-0.6906738
1950-01-30,0.23886108,0.049438477,-0.15301514,-0.7262573,-0.68515015
1950-01-31,0.20935059,0.08694458,-0.1607666,-0.7230835,-0.6802063
1950-02-01,0.18005371,0.12478638,-0.16851807,-0.7211914,-0.67562866
1950-02-02,0.1496582,0.1616211,-0.17645264,-0.71868896,-0.67251587
1950-02-03,0.11819458,0.19683838,-0.18518066,-0.71725464,-0.6692505
1950-02-04,0.088409424,0.23248291,-0.1928711,-0.7174988,-0.6668091
1950-02-05,0.05923462,0.26535034,-0.20101929,-0.71710205,-0.66537476
1950-02-06,0.032287598,0.29745483,-0.2086792,-0.7173157,-0.66378784
1950-02-07,0.0061950684,0.32696533,-0.21728516,-0.7180176,-0.66241455
1950-02-08,-0.017181396,0.35290527,-0.22528076,-0.72109985,-0.66296387
1950-02-09,-0.038146973,0.37747192,-0.23339844,-0.72561646,-0.66470337
1950-02-10,-0.055999756,0.39727783,-0.2411499,-0.72976685,-0.6668091
1950-02-11,-0.06921387,0.41278076,-0.25039673,-0.73565674,-0.6713257
1950-02-12,-0.08026123,0.42263794,-0.2578125,-0.74313354,-0.6754761
1950-02-13,-0.085876465,0.42889404,-0.2644043,-0.7518616,-0.6816101
1950-02-14,-0.08908081,0.43048096,-0.27090454,-0.7633362,-0.6878052
1950-02-15,-0.088256836,0.42767334,-0.27215576,-0.7753296,-0.69403076
1950-02-16,-0.08734131,0.42077637,-0.27197266,-0.78570557,-0.6992798
1950-02-17,-0.085510254,0.41030884,-0.2701416,-0.7943115,-0.70236206
1950-02-18,-0.086120605,0.39492798,-0.24636841,-0.8008728,-0.7038269
1950-02-19,-0.08694458,0.37606812,-0.19570923,-0.8060913,-0.7052002
1950-02-20,-0.087524414,0.35290527,-0.1645813,-0.80944824,-0.70599365
1950-02-21,-0.09008789,0.32525635,-0.14376831,-0.81185913,-0.7050781
1950-02-22,-0.092041016,0.29473877,-0.12133789,-0.8107605,-0.70617676
1950-02-23,-0.09564209,0.2619629,-0.09951782,-0.81088257,-0.704834
1950-02-24,-0.1015625,0.22680664,-0.07772827,-0.80981445,-0.70492554
1950-02-25,-0.10723877,0.1906128,-0.052856445,-0.807251,-0.7055054
1950-02-26,-0.11218262,0.15362549,-0.029693604,-0.8043823,-0.7055969
1950-02-27,-0.11917114,0.115448,-0.005432129,-0.80029297,-0.7046509
1950-02-28,-0.12750244,0.080078125,-0.005065918,-0.79559326,-0.7046509
1950-03-01,-0.11462402,0.04699707,-0.23791504,-0.82025146,-0.71395874
1950-03-02,-0.12322998,0.012054443,-0.23254395,-0.8125,-0.7111511
1950-03-03,-0.1324768,-0.022888184,-0.22729492,-0.80181885,-0.70788574
1950-03-04,-0.14187622,-0.057373047,-0.2217102,-0.7912903,-0.7054138
1950-03-05,-0.15084839,-0.09100342,-0.21569824,-0.7793579,-0.70214844
1950-03-06,-0.16320801,-0.12121582,-0.20935059,-0.7675171,-0.6990967
1950-03-07,-0.17526245,-0.15182495,-0.20065308,-0.75546265,-0.6977234
1950-03-08,-0.18740845,-0.18054199,-0.17440796,-0.74224854,-0.69732666
1950-03-09,-0.1991272,-0.2069397,-0.14730835,-0.7281494,-0.6968384
1950-03-10,-0.2116394,-0.2288208,-0.11831665,-0.71484375,-0.6949158
1950-03-11,-0.22390747,-0.24890137,-0.08880615,-0.6984558,-0.6938782
1950-03-12,-0.23739624,-0.26327515,-0.06088257,-0.6824646,-0.692688
1950-03-13,-0.25305176,-0.27490234,-0.031555176,-0.66400146,-0.69155884
1950-03-14,-0.26763916,-0.2809143,-0.0022583008,-0.64508057,-0.68927
1950-03-15,-0.2842102,-0.28399658,0.0256958,-0.6265869,-0.6878967
1950-03-16,-0.29885864,-0.28292847,0.048461914,-0.6102905,-0.68777466
1950-03-17,-0.3142395,-0.27597046,0.04940796,-0.59750366,-0.6893616
1950-03-18,-0.32159424,-0.26672363,0.032073975,-0.59280396,-0.6926575
1950-03-19,-0.32125854,-0.25457764,0.013763428,-0.59762573,-0.6947632
1950-03-20,-0.31375122,-0.23916626,-0.0029907227,-0.6116028,-0.6982422
1950-03-21,-0.2998047,-0.22262573,-0.02230835,-0.6289673,-0.7019348
1950-03-22,-0.28155518,-0.20272827,-0.049987793,-0.6531677,-0.7048645
1950-03-23,-0.25857544,-0.18243408,-0.067718506,-0.6830139,-0.70980835
1950-03-24,-0.23132324,-0.15975952,-0.084198,-0.71661377,-0.7137146
1950-03-25,-0.20004272,-0.13323975,-0.10006714,-0.7546387,-0.71655273
1950-03-26,-0.16601562,-0.105163574,-0.1083374,-0.79714966,-0.71902466
1950-03-27,-0.12765503,-0.07507324,-0.10430908,-0.84558105,-0.7234802
1950-03-28,-0.08654785,-0.04458618,-0.10070801,-0.8974304,-0.72784424
1950-03-29,-0.043029785,-0.013092041,-0.09637451,-0.9526062,-0.73135376
1950-03-30,0.0019226074,0.017913818,-0.092315674,-1.0099792,-0.73599243
1950-03-31,0.04650879,0.04949951,-0.08847046,-1.0679016,-0.7400818
1950-04-01,0.09161377,0.08047485,-0.0836792,-1.1266174,-0.74716187
1950-04-02,0.13476562,0.10983276,-0.0796814,-1.1838379,-0.75216675
1950-04-03,0.17797852,0.1378479,-0.07550049,-1.2392883,-0.7592163
1950-04-04,0.22033691,0.16448975,-0.070892334,-1.294281,-0.76290894
1950-04-05,0.26327515,0.19000244,-0.06781006,-1.3479004,-0.76864624
1950-04-06,0.3048401,0.21603394,-0.06375122,-1.4005127,-0.773468
1950-04-07,0.34326172,0.23983765,-0.059448242,-1.4499207,-0.7779846
1950-04-08,0.3760376,0.26062012,-0.055633545,-1.4971008,-0.7811279
1950-04-09,0.40512085,0.2774353,-0.0519104,-1.5404663,-0.78356934
1950-04-10,0.42886353,0.2906189,-0.048339844,-1.5811157,-0.7855835
1950-04-11,0.44702148,0.301239,-0.043640137,-1.6173706,-0.7876587
1950-04-12,0.46017456,0.3065796,-0.041137695,-1.6481628,-0.78964233
1950-04-13,0.46704102,0.30859375,-0.037841797,-1.6734619,-0.7907715
1950-04-14,0.46765137,0.30743408,-0.03466797,-1.692688,-0.79174805
1950-04-15,0.46124268,0.30218506,-0.032226562,-1.70224,-0.79156494
1950-04-16,0.44815063,0.292511,-0.030029297,-1.7030029,-0.7909241
1950-04-17,0.43173218,0.28573608,-0.02722168,-1.6922913,-0.7901306
1950-04-18,0.41464233,0.28363037,-0.025787354,-1.6732483,-0.7888489
1950-04-19,0.39749146,0.28338623,-0.024871826,-1.6448364,-0.7880554
1950-04-20,0.38174438,0.2861328,-0.023345947,-1.6080322,-0.7859802
1950-04-21,0.36392212,0.2915039,-0.022033691,-1.5666199,-0.78564453
1950-04-22,0.34796143,0.29916382,-0.020721436,-1.5197449,-0.78445435
1950-04-23,0.33267212,0.3093567,-0.019439697,-1.467926,-0.78359985
1950-04-24,0.32061768,0.3204651,-0.018035889,-1.4108887,-0.7832947
1950-04-25,0.30752563,0.3317871,-0.016418457,-1.3475342,-0.78289795
1950-04-26,0.29385376,0.3460083,-0.015075684,-1.2814941,-0.7805481
1950-04-27,0.2808838,0.36203003,-0.013885498,-1.2109985,-0.779541
1950-04-28,0.26919556,0.3774414,-0.012756348,-1.1391296,-0.77752686
1950-04-29,0.25946045,0.3937378,-0.011566162,-1.0642395,-0.7748108
1950-04-30,0.25097656,0.41036987,-0.010345459,-0.99087524,-0.7720947
1950-05-01,0.2437439,0.42837524,-0.009246826,-0.91830444,-0.769104
1950-05-02,0.23776245,0.44735718,-0.00869751,-0.8479614,-0.7677307
1950-05-03,0.23330688,0.46557617,-0.0072631836,-0.78186035,-0.7658081
1950-05-04,0.23040771,0.48321533,-0.0064697266,-0.7184448,-0.76483154
1950-05-05,0.22866821,0.49938965,-0.006164551,-0.65774536,-0.7614136
1950-05-06,0.22659302,0.51483154,-0.0049438477,-0.6012573,-0.75927734
1950-05-07,0.2268982,0.5293884,-0.004486084,-0.5492554,-0.7565918
1950-05-08,0.2315979,0.5432739,-0.0046691895,-0.50164795,-0.7541199
1950-05-09,0.23944092,0.5578003,-0.0038146973,-0.460083,-0.7526245
1950-05-10,0.24987793,0.56918335,-0.0034484863,-0.42312622,-0.74868774
1950-05-11,0.26306152,0.582428,-0.0031433105,-0.3930664,-0.7452698
1950-05-12,0.27752686,0.59454346,-0.0033874512,-0.37020874,-0.74349976
1950-05-13,0.29464722,0.6051941,-0.0030212402,-0.3560791,-0.7398987
1950-05-14,0.31536865,0.611145,-0.0022277832,-0.35159302,-0.7369385
1950-05-15,0.34042358,0.6156311,-0.0019836426,-0.35614014,-0.7349243
1950-05-16,0.3668213,0.61608887,-0.0016479492,-0.36984253,-0.73287964
1950-05-17,0.3149109,0.6107788,-0.0013427734,-0.3883667,-0.732666
1950-05-18,-0.4135437,0.60131836,-0.001159668,-0.40841675,-0.7340698
1950-05-19,-0.411438,0.5881653,-0.0010986328,-0.4317932,-0.73791504
1950-05-20,-0.41455078,0.5720825,-0.0009765625,-0.4573059,-0.74276733
