,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1950-01-01,-2.295044,-9.95401,-0.5619507,-15.199692,0.042999268
1950-01-02,2.2294922,-7.577606,0.71255493,-13.601501,-5.0448303
1950-01-03,2.115326,-0.13101196,-0.8450012,-20.200958,-5.832855
1950-01-04,2.4287415,0.32095337,2.1811523,-22.620804,-8.319
1950-01-05,2.9648132,-4.198242,-0.6894226,-22.20079,-8.057526
1950-01-06,2.506775,-9.974609,-2.5687256,-24.125626,-8.219574
1950-01-07,3.163086,-12.154358,-2.0754395,-23.707947,-9.149078
1950-01-08,1.4554443,-15.652771,-2.5362854,-21.53978,-7.48938
1950-01-09,0.2144165,-13.604187,-2.0440369,-22.647629,-11.876511
1950-01-10,2.806305,-19.461624,-0.68759155,-19.35292,-13.417313
1950-01-11,3.770752,-24.972672,0.3315735,-15.190155,-2.9783936
1950-01-12,2.8845215,-17.339157,-2.2554626,-12.223602,2.1602478
1950-01-13,0.8875427,-18.869156,-7.6608887,-3.422638,4.6224976
1950-01-14,3.092102,-11.244446,-8.466461,4.8649597,0.19104004
1950-01-15,3.5766602,0.6161194,-6.536194,-5.7355957,-3.791504
1950-01-16,1.6592102,3.7643127,-4.8632812,-16.841354,-10.277557
1950-01-17,0.8199463,0.38742065,-3.7605896,-15.303497,-13.3684845
1950-01-18,-1.5820007,-15.553299,-0.39437866,-10.833176,-12.290695
1950-01-19,-5.322052,-17.052078,-0.44796753,-7.0292664,1.1341553
1950-01-20,-6.7622375,-16.0905,0.29034424,1.2313843,0.5152588
1950-01-21,-4.6745605,-12.08432,-0.36392212,1.9792786,2.7452698
1950-01-22,-2.4462585,-15.128311,-1.7781067,1.9503784,4.9004517
1950-01-23,-3.7939148,-16.709686,-1.1042786,5.133301,1.7623596
1950-01-24,-6.5851746,-8.664917,-2.9372559,4.7240906,3.1048584
1950-01-25,-7.8833923,-2.356079,-4.557495,4.8266296,4.72995
1950-01-26,-5.215912,-0.7411499,-5.8664246,4.3197937,-0.7901001
1950-01-27,-3.852295,-1.8092651,-5.6763,2.519226,-6.0479126
1950-01-28,-5.471405,-5.43338,-3.7366943,4.3684998,-7.869049
1950-01-29,-7.120575,-9.068451,-2.1650085,-2.7106323,-5.0903015
1950-01-30,-5.812866,-9.222931,-1.180481,-8.486023,-2.938507
1950-01-31,-0.6612549,-15.415115,-0.45217896,0.771698,-2.751892
1950-02-01,0.33493042,-10.866577,-1.4674683,-1.1000366,1.0027771
1950-02-02,1.6168213,-10.730804,-1.4992065,2.5844421,3.3188171
1950-02-03,3.184906,-8.556366,-4.018585,-1.5009155,4.0954895
1950-02-04,2.7341309,-15.235168,-7.925293,-1.9534607,5.679016
1950-02-05,1.721405,-14.64064,-10.290649,0.72509766,3.3745117
1950-02-06,2.2599487,-10.07843,-8.018158,2.3486328,5.864868
1950-02-07,1.4620056,-0.864624,-3.3139648,2.5097046,5.931549
1950-02-08,1.8479004,3.796753,-2.6993713,7.975342,3.8852234
1950-02-09,0.4630432,3.4596252,-1.9281616,7.976288,2.5713806
1950-02-10,4.6497498,3.641388,-1.7433472,6.5940247,0.65774536
1950-02-11,2.1176453,3.4275208,-1.713501,5.949341,0.9359436
1950-02-12,2.0256348,4.6128235,0.11752319,5.750519,0.90252686
1950-02-13,2.11911,5.177246,0.9784851,0.28735352,-3.2225952
1950-02-14,0.6716919,4.9003296,0.13595581,0.84399414,-5.28421
1950-02-15,3.7933655,4.4407654,-0.45114136,3.7334595,-10.630981
1950-02-16,4.2987976,4.4465637,0.2986145,-5.775421,-12.824966
1950-02-17,3.7766724,3.2061462,0.68948364,-7.886688,-5.422516
1950-02-18,4.1600647,6.4089966,1.1572266,-7.8879395,-1.9823914
1950-02-19,3.0321655,5.962433,1.7924194,-7.447357,2.585968
1950-02-20,3.5714111,4.208557,1.2827759,-3.865265,3.3329163
1950-02-21,1.491272,3.8337708,-0.33026123,3.0319824,1.8275146
1950-02-22,0.44857788,3.910797,1.160675,4.0681458,1.9793701
1950-02-23,-0.38339233,3.5919495,1.5049744,2.5544434,0.20092773
1950-02-24,2.8355408,3.5950012,-0.06277466,0.41940308,-1.7157593
1950-02-25,1.6317749,4.6388855,-0.2359314,1.3734131,-3.1950378
1950-02-26,-1.3478088,4.5499268,0.284729,-0.41342163,-7.027893
1950-02-27,-1.1455688,5.795288,0.6942749,-3.703949,-5.719055
1950-02-28,-1.629303,6.5147095,0.5949707,-3.8459167,-5.816803
1950-03-01,-1.1529846,4.4486694,2.1304626,-3.5896301,-4.6196594
1950-03-02,-1.2652893,1.495758,2.9678955,-6.5166626,-3.147461
1950-03-03,-0.35266113,2.1427917,1.7241821,-4.411072,1.8833618
1950-03-04,1.6370239,1.6618042,2.075531,1.9799194,5.3528137
1950-03-05,1.3836975,1.3303833,1.1555176,5.921356,7.269104
1950-03-06,1.5732422,3.3494263,-0.506958,5.17157,7.644867
1950-03-07,0.18127441,3.8120422,-1.5979004,1.8198853,2.837494
1950-03-08,0.55978394,-0.1088562,-0.8611145,-1.1199341,1.2553406
1950-03-09,1.099884,-2.038269,0.22839355,-5.457367,-0.27340698
1950-03-10,0.15905762,-2.2753296,0.48098755,-6.151764,-4.1724243
1950-03-11,0.30755615,-2.224762,0.58428955,-6.059967,-6.506134
1950-03-12,-0.15872192,-0.45639038,0.71710205,-4.4751587,-7.95932
1950-03-13,-1.3163452,2.1926575,0.42834473,0.8619995,-5.9916077
1950-03-14,-1.0324097,0.62423706,0.49905396,-0.6899414,-4.0883484
1950-03-15,1.5782166,-1.0075073,0.46679688,-4.3370667,-5.509796
1950-03-16,3.2125244,-0.8127136,1.3413391,-4.883026,-3.2955322
1950-03-17,2.942566,-2.6881104,1.5965576,-1.350647,3.6835938
1950-03-18,3.3388367,-3.3495483,0.7286377,3.7441711,5.673645
1950-03-19,2.5316467,-2.4891052,-1.3322449,5.9561462,5.5312195
1950-03-20,1.129242,-2.464203,-1.0578308,6.001831,4.9189453
1950-03-21,1.148407,-1.8253479,-1.14151,4.3327637,2.9475403
1950-03-22,1.262146,-0.7462158,-0.9267578,2.1983948,0.13760376
1950-03-23,2.7233276,-0.3447876,-1.0286255,-1.4114075,-0.88394165
1950-03-24,1.906189,-0.17559814,-1.4013977,-0.24603271,3.7679138
1950-03-25,0.36187744,-2.2805786,-2.24057,2.5704956,1.3996582
1950-03-26,0.68582153,-1.7822876,-2.973755,2.6019287,1.2955017
1950-03-27,0.39779663,-2.824768,-1.6566162,1.6011658,3.349945
