,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1950-01-01,-6.6347195e-05,-6.907867e-05,0.00046273673,-5.3247595e-06,5.480679e-05
1950-01-02,0.00016639315,-6.723109e-05,-6.816227e-05,-5.3707563e-06,-0.00013481143
1950-01-03,0.00026736694,-6.722803e-05,-6.978665e-05,-5.496919e-06,-0.0001306581
1950-01-04,1.0099233e-05,-6.654673e-05,-7.0021575e-05,-5.3218037e-06,-0.00012397436
1950-01-05,5.351514e-05,-6.365747e-05,-6.255176e-05,-5.2503497e-06,-7.451752e-05
1950-01-06,2.9932657e-05,-5.7306832e-05,-6.76684e-05,-4.762025e-06,-9.694749e-05
1950-01-07,-4.0779465e-05,-6.243328e-05,-6.611951e-05,-4.8212496e-06,-0.00011977511
1950-01-08,0.00014584712,-4.6512374e-05,-6.86937e-05,-4.521044e-06,-0.000105076004
1950-01-09,7.245383e-05,-3.2911717e-05,-6.872063e-05,-4.23603e-06,0.00034170694
1950-01-10,-2.3467732e-05,-6.0416907e-05,-6.7412126e-05,-4.3043688e-06,2.4389476e-05
1950-01-11,-2.354373e-05,-5.921335e-05,-6.810129e-05,-4.347172e-06,7.195187e-05
1950-01-12,0.00011339362,-5.959899e-05,-6.7978566e-05,-4.3419545e-06,-0.00011723955
1950-01-13,2.0711086e-06,-5.8963986e-05,-6.694929e-05,-2.5249904e-06,0.0003947678
1950-01-14,-2.2482549e-05,-5.8147307e-05,-6.646432e-05,-3.7301274e-06,-0.000100058984
1950-01-15,0.00022869941,-5.6256464e-05,-5.6760648e-05,-4.3696446e-06,3.8620812e-05
1950-01-16,-3.379959e-05,-2.5817753e-05,-6.6001376e-05,-4.0675723e-06,-7.346949e-05
1950-01-17,-4.70863e-05,-5.210724e-05,0.00014460718,-4.5555316e-06,-0.00013421981
1950-01-18,-5.244799e-05,-5.4624474e-05,7.798451e-05,-4.627336e-06,0.0001456817
1950-01-19,-6.5822554e-05,-5.3820382e-05,3.2351025e-05,-4.4549242e-06,-0.00011250654
1950-01-20,-6.8306166e-05,-5.3125073e-05,-4.9579987e-05,-4.577424e-06,-0.00012968355
1950-01-21,-6.313495e-05,-5.2925618e-05,-5.741537e-05,-5.017336e-06,-9.4384275e-05
1950-01-22,-6.846658e-05,-4.8680875e-05,-6.429277e-05,-4.9646333e-06,4.555007e-05
1950-01-23,-6.833543e-05,-5.064571e-05,5.650468e-05,-5.333356e-06,4.4079075e-05
