,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5
1950-01-01,-85.48047,-1019.0742,1172.7227,-712.1719,2238.8477
1950-01-02,-1400.1523,-1421.6094,-145.32812,65.87109,1936.9648
1950-01-03,-1974.2383,-985.8281,31.546875,263.72656,1813.0938
1950-01-04,-1708.7305,-2066.7305,127.08594,259.375,1286.0977
1950-01-05,-1567.6211,-2728.75,-182.23828,318.85938,-511.85156
1950-01-06,-1163.9883,-1393.8789,-1403.5586,255.875,-1264.8711
1950-01-07,-902.2031,-341.39062,-1201.9297,563.4414,408.26562
1950-01-08,-879.78125,-857.1406,606.46094,523.15625,688.76953
1950-01-09,-1092.582,-552.6133,1689.4922,-47.464844,756.4219
1950-01-10,180.35547,-475.35547,1310.4922,-93.90625,2033.7969
1950-01-11,1158.043,-1964.8633,1330.5547,591.09766,2365.2305
1950-01-12,1142.6953,-2450.918,357.3125,989.0703,2198.582
1950-01-13,155.17969,-2286.8516,303.64453,1232.1719,1833.1172
1950-01-14,-820.7344,-1443.5898,13.140625,1477.7383,1982.0195
1950-01-15,-1018.25,-1336.9297,-838.8281,1386.293,284.05078
1950-01-16,-1000.8203,-568.0117,122.58203,673.1836,-856.5469
1950-01-17,9.4609375,222.41406,1796.5234,-1496.6914,813.5117
1950-01-18,1105.1992,407.75,2657.7422,-2273.9727,1819.2266
1950-01-19,1517.8125,355.875,3584.5312,-2167.043,1756.6641
1950-01-20,1690.2891,-435.5586,3637.4375,-1943.8398,1108.3477
1950-01-21,2284.8594,-1419.4023,2910.6133,-1168.0078,1424.6641
1950-01-22,2703.2656,-1708.8359,2578.1992,-1205.293,1267.3594
1950-01-23,3119.3281,-1717.7148,2294.1953,-1618.5117,1160.6328
1950-01-24,3053.582,-958.58203,1659.2227,-1652.5625,668.3672
1950-01-25,2627.8086,-634.29297,1891.8594,-1207.0039,-248.01172
1950-01-26,1903.9961,-832.3047,1812.375,-808.58203,-182.98828
1950-01-27,2227.0742,-681.0156,2187.918,-944.5039,810.41406
1950-01-28,2200.8047,-1040.1133,2844.4375,-926.53906,516.4453
1950-01-29,1161.8984,-962.1406,2861.1523,-450.26953,-497.35938
1950-01-30,2163.3164,-703.6953,2045.625,5.2382812,-912.53906
1950-01-31,1984.9336,-947.20703,1362.8242,278.40234,-1703.0625
1950-02-01,2114.0,-1438.9961,474.25,-56.726562,-1765.457
1950-02-02,2591.1055,-1491.9531,-39.007812,-81.72656,-2050.4453
1950-02-03,2197.211,-2005.5391,-58.628906,445.84375,-2496.6719
1950-02-04,1712.7773,-2725.8906,-1122.8438,43.695312,-2091.8906
1950-02-05,704.53125,-1853.0391,-1073.3945,-235.9336,-2619.0156
1950-02-06,417.21484,-36.390625,-1174.8047,-278.71484,-1959.2188
1950-02-07,-253.83984,1046.5391,-1009.1133,-96.13672,-860.7617
1950-02-08,-982.9258,1096.4219,-948.8906,607.1289,-2473.1406
1950-02-09,-679.9492,366.7422,-1228.7969,589.7344,-1075.0117
1950-02-10,-757.1875,-264.64453,-1363.543,1309.5938,-1696.2773
1950-02-11,-1524.2969,-139.10156,-2086.7031,831.58594,-3240.125
1950-02-12,-2213.668,774.72266,-1861.2227,293.03125,-2483.582
1950-02-13,-1587.9805,364.6914,-1726.0078,-201.4336,-3035.9766
1950-02-14,-1516.3281,1279.2461,-1432.4062,-1170.0391,-1239.75
1950-02-15,-1861.1406,1520.9219,-1202.7305,743.21875,319.73438
1950-02-16,-1439.9453,1513.6797,-853.91016,1632.9727,1387.7266
1950-02-17,-325.71875,1672.4688,-1092.0117,1701.5508,1346.3828
1950-02-18,-301.51562,1946.7617,-923.9922,1331.3984,464.1797
1950-02-19,-147.76562,1658.6953,-1128.2891,1177.5508,-76.58984
1950-02-20,-196.38281,896.9844,-850.1367,1298.3359,-1107.082
1950-02-21,-639.28125,261.83984,-697.41016,1106.7383,-35.996094
1950-02-22,-756.2539,-67.83203,-3087.4492,820.85156,860.84766
1950-02-23,-3286.586,-246.66406,-2316.9102,477.08203,-170.23438
1950-02-24,-3309.2383,-106.21094,-2561.754,165.63281,-1085.418
1950-02-25,-3121.3203,148.23828,-1532.8516,-987.6094,-1830.5273
1950-02-26,-2340.8438,272.51562,-318.1953,-1761.8125,-1256.0195
1950-02-27,-509.25,805.66016,833.5742,-1091.0195,-786.8086
1950-02-28,547.41797,947.60156,1262.3164,-1289.8867,-839.78125
1950-03-01,1362.1055,1183.3203,986.16797,-1941.1953,405.8789
1950-03-02,1670.3516,898.09766,-8.1640625,-1755.7617,1443.0117
1950-03-03,1655.9141,987.71094,-1048.1406,-852.7461,1387.1992
1950-03-04,534.65625,807.1836,-936.7578,142.50781,2556.5312
1950-03-05,-769.78125,-26.71875,-42.796875,197.23828,3102.4414
