,z500World_cluster1,z500World_cluster2,z500World_cluster3,z500World_cluster4,z500World_cluster5
1950-01-01,-240.91406,57.51953,1806.8242,1673.8398,330.8086
1950-01-02,-264.1328,566.16797,535.22266,1402.5195,1804.4805
1950-01-03,-307.70312,777.78906,955.0156,1019.14453,1729.9844
1950-01-04,-229.61328,786.5703,1430.2656,697.6172,1021.6172
1950-01-05,-139.7539,818.41797,681.5,91.45703,-379.98438
1950-01-06,-142.38672,1317.5586,-760.0078,-125.83594,464.5547
1950-01-07,-190.28906,1489.7383,125.68359,-9.660156,65.296875
1950-01-08,-170.73047,1755.3633,566.625,247.15234,394.2539
1950-01-09,-166.98438,1587.9492,624.25,239.83203,802.125
1950-01-10,-64.60547,1299.3789,787.52734,281.9414,1234.2266
1950-01-11,-29.660156,472.5703,412.54297,37.73828,1211.2461
1950-01-12,-55.128906,183.08203,838.21875,-141.8164,460.0586
1950-01-13,-110.69922,70.421875,78.89844,-36.48828,-346.96484
1950-01-14,-166.14844,-246.36719,-70.18359,3.953125,82.57422
1950-01-15,-218.2461,-583.34375,182.6875,-144.19531,305.48828
1950-01-16,-179.42188,-138.92578,361.5,-259.89062,-167.42969
1950-01-17,-242.57422,415.52734,-25.960938,-362.72656,-948.21484
1950-01-18,-334.19922,155.78125,-484.375,-536.0625,-496.8047
1950-01-19,-282.35156,-928.0742,-1168.4414,-79.70703,154.92188
1950-01-20,-155.80469,-973.15234,-941.66406,331.9375,-411.875
1950-01-21,-141.58203,-782.5156,-1050.1406,283.20703,-695.1211
1950-01-22,-216.86328,177.92188,-1495.3906,161.32422,-896.60156
1950-01-23,-288.92578,122.85547,-1486.207,61.617188,-764.84375
1950-01-24,-266.75,-483.6875,-1724.4961,195.2461,-528.4492
1950-01-25,-184.19922,-608.09766,-1520.7812,359.45312,-374.08984
1950-01-26,-106.83203,-3.3632812,-1609.8594,632.58594,-755.22266
1950-01-27,-208.03906,628.4961,-946.95703,690.28516,-1284.2227
1950-01-28,-272.46484,275.20703,893.0625,459.4414,-826.3594
1950-01-29,-300.07812,-533.9336,737.70703,284.5625,609.4375
1950-01-30,-307.16406,-55.097656,564.5742,266.48828,-604.58984
1950-01-31,-289.77344,-384.6328,269.3203,424.6328,-320.92188
1950-02-01,-302.02734,-1535.4766,16.757812,228.19531,386.6172
1950-02-02,-279.4375,-1279.0352,-83.671875,336.125,910.40625
1950-02-03,-244.0664,-1461.7656,851.8594,217.5625,849.8086
1950-02-04,-166.3711,-1588.4297,296.4453,-266.76172,113.80078
1950-02-05,-106.03125,-1240.2617,-1071.7695,-238.0586,552.1328
1950-02-06,-105.50391,-1076.8945,-2522.6484,-131.375,654.60547
1950-02-07,-178.3086,-624.21094,-1872.3711,-108.1875,808.1875
1950-02-08,-189.21094,-1371.6875,-372.2539,-24.21875,1185.1719
1950-02-09,-215.66797,-2012.8789,493.6797,-176.6211,2042.8359
1950-02-10,-210.1836,-1417.168,592.77734,-97.56641,1888.1016
1950-02-11,-227.77344,-1137.8828,214.25781,29.570312,1202.2422
1950-02-12,-274.46484,-643.5703,-524.7578,262.4336,929.96094
1950-02-13,-239.72266,-257.04297,-949.77344,153.77344,465.0547
1950-02-14,-154.53906,2.9257812,-1168.9531,-137.15625,-784.8828
1950-02-15,-135.41797,39.132812,-1088.2969,-285.73828,-2366.1875
1950-02-16,-150.1289,-477.77734,-760.4883,-307.58984,-2184.129
1950-02-17,-112.30078,-827.4297,-1121.7969,-369.14844,-1820.5156
1950-02-18,-32.308594,-822.20703,-1407.7422,-435.9961,-1816.7266
1950-02-19,8.3046875,-813.21484,-1699.5273,-525.97656,-2081.7305
1950-02-20,-35.078125,-622.7422,-1977.4023,-501.47266,-2148.9219
1950-02-21,-95.50391,426.1914,-3443.3242,-167.10938,-665.2656
1950-02-22,-137.48438,496.69922,-2550.7617,-449.23047,-43.273438
1950-02-23,-151.52344,-203.78906,-2111.0234,-168.39062,10.996094
