,cluster,nodes_lat,nodes_lon
0,2,70.0,18.5
1,2,70.0,19.0
2,2,70.0,19.5
3,2,70.0,20.0
4,2,70.0,20.5
5,2,70.0,21.0
6,2,70.0,21.5
7,2,70.0,22.0
8,2,70.0,22.5
9,2,70.0,23.0
10,2,70.0,23.5
11,2,70.0,24.0
12,2,70.0,24.5
13,2,70.0,25.0
14,2,70.0,25.5
15,2,70.0,26.0
16,2,70.0,26.5
17,2,70.0,27.0
18,2,70.0,27.5
19,2,70.0,28.0
20,2,70.0,28.5
21,2,70.0,29.0
22,2,70.0,29.5
23,2,70.0,30.0
24,2,70.0,30.5
25,2,70.0,32.0
26,2,70.0,32.5
27,2,69.5,17.5
28,2,69.5,18.0
29,2,69.5,18.5
30,2,69.5,19.0
31,2,69.5,19.5
32,2,69.5,20.0
33,2,69.5,20.5
34,2,69.5,21.0
35,2,69.5,21.5
36,2,69.5,22.0
37,2,69.5,22.5
38,2,69.5,23.0
39,2,69.5,23.5
40,2,69.5,24.0
41,2,69.5,24.5
42,2,69.5,25.0
43,2,69.5,25.5
44,2,69.5,26.0
45,2,69.5,26.5
46,2,69.5,27.0
47,2,69.5,27.5
48,2,69.5,28.0
49,2,69.5,28.5
50,2,69.5,29.0
51,2,69.5,29.5
52,2,69.5,30.0
53,2,69.5,30.5
54,2,69.5,31.0
55,2,69.5,31.5
56,2,69.5,32.0
57,2,69.5,32.5
58,2,69.5,33.0
59,2,69.5,33.5
60,2,69.5,34.0
61,2,69.5,34.5
62,2,69.5,35.0
63,2,69.0,15.5
64,2,69.0,16.0
65,2,69.0,17.5
66,2,69.0,18.0
67,2,69.0,18.5
68,2,69.0,19.0
69,2,69.0,19.5
70,2,69.0,20.0
71,2,69.0,20.5
72,2,69.0,21.0
73,2,69.0,21.5
74,2,69.0,22.0
75,2,69.0,22.5
76,2,69.0,23.0
77,2,69.0,23.5
78,2,69.0,24.0
79,2,69.0,24.5
80,2,69.0,25.0
81,2,69.0,25.5
82,2,69.0,26.0
83,2,69.0,26.5
84,2,69.0,27.0
85,2,69.0,27.5
86,2,69.0,28.0
87,2,69.0,28.5
88,2,69.0,29.0
89,2,69.0,29.5
90,2,69.0,30.0
91,2,69.0,30.5
92,2,69.0,31.0
93,2,69.0,31.5
94,2,69.0,32.0
95,2,69.0,32.5
96,2,69.0,33.0
97,2,69.0,33.5
98,2,69.0,34.0
99,2,69.0,34.5
100,2,69.0,35.0
101,2,69.0,35.5
102,2,69.0,36.0
103,2,69.0,36.5
104,2,68.5,14.5
105,2,68.5,15.0
106,2,68.5,15.5
107,2,68.5,16.0
108,2,68.5,16.5
109,2,68.5,17.0
110,2,68.5,17.5
111,2,68.5,18.0
112,2,68.5,18.5
113,2,68.5,19.0
114,2,68.5,19.5
115,2,68.5,20.0
116,2,68.5,20.5
117,2,68.5,21.0
118,2,68.5,21.5
119,2,68.5,22.0
120,2,68.5,22.5
121,2,68.5,23.0
122,2,68.5,23.5
123,2,68.5,24.0
124,2,68.5,24.5
125,2,68.5,25.0
126,2,68.5,25.5
127,2,68.5,26.0
128,2,68.5,26.5
129,2,68.5,27.0
130,2,68.5,27.5
131,2,68.5,28.0
132,2,68.5,28.5
133,2,68.5,29.0
134,2,68.5,29.5
135,2,68.5,30.0
136,2,68.5,30.5
137,2,68.5,31.0
138,2,68.5,31.5
139,2,68.5,32.0
140,2,68.5,32.5
141,2,68.5,33.0
142,2,68.5,33.5
143,2,68.5,34.0
144,2,68.5,34.5
145,2,68.5,35.0
146,2,68.5,35.5
147,2,68.5,36.0
148,2,68.5,36.5
149,2,68.5,37.0
150,2,68.5,37.5
151,2,68.5,38.0
152,2,68.5,38.5
153,2,68.5,43.5
154,2,68.5,44.0
155,2,68.0,14.5
156,2,68.0,15.0
157,2,68.0,15.5
158,2,68.0,16.0
159,2,68.0,16.5
160,2,68.0,17.0
161,2,68.0,17.5
162,2,68.0,18.0
163,2,68.0,18.5
164,2,68.0,19.0
165,2,68.0,19.5
166,2,68.0,20.0
167,2,68.0,20.5
168,2,68.0,21.0
169,2,68.0,21.5
170,2,68.0,22.0
171,2,68.0,22.5
172,2,68.0,23.0
173,2,68.0,23.5
174,2,68.0,24.0
175,2,68.0,24.5
176,2,68.0,25.0
177,2,68.0,25.5
178,2,68.0,26.0
179,2,68.0,26.5
180,2,68.0,27.0
181,2,68.0,27.5
182,2,68.0,28.0
183,2,68.0,28.5
184,2,68.0,29.0
185,2,68.0,29.5
186,2,68.0,30.0
187,2,68.0,30.5
188,2,68.0,31.0
189,2,68.0,31.5
190,2,68.0,32.0
191,2,68.0,32.5
192,2,68.0,33.0
193,2,68.0,33.5
194,2,68.0,34.0
195,2,68.0,34.5
196,2,68.0,35.0
197,2,68.0,35.5
198,2,68.0,36.0
199,2,68.0,36.5
200,2,68.0,37.0
201,2,68.0,37.5
202,2,68.0,38.0
203,2,68.0,38.5
204,2,68.0,39.0
205,2,68.0,39.5
206,2,68.0,40.0
207,2,68.0,44.0
208,2,67.5,14.5
209,2,67.5,15.0
210,2,67.5,15.5
211,2,67.5,16.0
212,2,67.5,16.5
213,2,67.5,17.0
214,2,67.5,17.5
215,2,67.5,18.0
216,2,67.5,18.5
217,2,67.5,19.0
218,2,67.5,19.5
219,2,67.5,20.0
220,2,67.5,20.5
221,2,67.5,21.0
222,2,67.5,21.5
