,msl,olr,sm1,t2m,tp,z500
1950-01-01,932.7656,-17.82254,0.003009379,-1.1629028,-8.217834e-05,774.71875
1950-01-02,495.03125,-10.477509,0.001277715,-1.783905,-0.000106095446,924.7383
1950-01-03,-1098.8281,10.335999,0.007365495,1.537323,2.4540845e-05,-442.0586
1950-01-04,-1351.6094,14.628769,0.015606165,1.1674194,8.188123e-05,-1096.6211
1950-01-05,-1050.7578,-19.80516,0.019973338,2.4332275,-7.278529e-05,-317.82422
1950-01-06,-566.9531,-4.9164276,0.013582557,0.41662598,-9.1384005e-05,-57.16797
1950-01-07,66.55469,-7.0933685,0.0126954615,-0.4666443,-9.099531e-05,488.5664
1950-01-08,394.64062,-19.06099,0.011061937,-0.25512695,-8.926984e-05,1210.6211
1950-01-09,254.32031,18.55922,0.00943777,0.74890137,-9.237447e-05,947.0664
1950-01-10,428.59375,-9.861084,0.008861661,2.8319092,-9.31416e-05,1208.668
1950-01-11,480.08594,-8.269684,0.008196324,3.0934448,-9.187285e-05,1627.168
1950-01-12,847.1094,-9.810242,0.0075627267,2.748932,-9.032397e-05,1576.6719
1950-01-13,839.6719,-13.109451,0.008812249,2.1923828,-9.021361e-05,1446.0703
1950-01-14,806.5781,-13.857758,0.0060281456,1.7185059,-9.043434e-05,1593.0234
1950-01-15,419.6172,-19.547821,0.0031919181,2.6717834,-9.0658075e-05,1468.0625
1950-01-16,-315.2422,-2.785324,0.0020938516,1.6541138,-4.494235e-05,214.3125
1950-01-17,-1381.8359,29.97873,0.009811968,1.4546509,-5.6461784e-05,-1874.0703
1950-01-18,-961.84375,45.873367,0.001514852,-0.3244934,-7.198696e-05,-1610.0938
1950-01-19,-679.8594,-6.858032,-0.0020411015,-2.206665,-9.3251874e-05,-1456.8867
1950-01-20,-370.8203,31.234222,-0.004742831,-2.9961548,-8.899424e-05,-932.21875
1950-01-21,-105.03906,-12.657791,-0.011926025,-0.50839233,-9.408416e-05,-300.52344
1950-01-22,-69.234375,-14.305237,-0.012409329,-2.6408997,-6.004276e-05,-160.22656
1950-01-23,375.125,7.9342804,-0.011414468,-4.4101562,0.00012759966,-1420.9727
1950-01-24,477.45312,9.283539,-0.010615826,-7.4043884,-6.2327e-05,-1637.1953
1950-01-25,683.64844,33.5233,-0.011665165,-4.9594116,-3.8576018e-05,-712.9883
1950-01-26,699.4219,16.099075,-0.010505438,-2.2030334,-3.713433e-05,-368.36328
1950-01-27,325.54688,-5.139221,-0.004976064,-2.2001648,-8.2691804e-05,-393.51953
1950-01-28,-656.6875,15.324768,-0.0059100688,-3.889557,0.00013697195,-1555.6719
1950-01-29,-566.0547,1.9891663,-0.005312681,-4.4778137,-1.4592995e-05,-1668.0352
1950-01-30,42.6875,-9.183029,-0.0069569945,-5.3277893,-8.149996e-05,-712.65625
1950-01-31,360.5625,15.1073,-0.0043183267,-3.381958,-8.2701445e-05,392.5547
1950-02-01,71.30469,8.4534,-0.002019912,-2.2916565,-8.145149e-05,173.15234
1950-02-02,439.70312,-5.0846405,0.0029720366,-2.682312,-8.2981984e-05,667.59375
1950-02-03,752.3672,-7.0450134,0.008001685,-2.0560608,-8.376565e-05,1074.4922
1950-02-04,513.6953,-6.4147797,0.01112774,-0.43017578,-4.214335e-05,798.02734
1950-02-05,165.64844,13.497894,0.03325835,0.5852051,0.0003785165,154.9336
1950-02-06,-578.6328,39.544113,0.044696003,0.08276367,0.0008473481,-844.0625
1950-02-07,-493.6875,-4.909195,0.038441062,-1.5213318,-8.395231e-05,-682.8008
1950-02-08,-93.0625,11.849579,0.034269303,-1.7539673,-8.2922e-05,-211.57422
1950-02-09,-467.75,24.689285,0.029670745,-1.6804199,-6.017559e-06,-1061.1172
1950-02-10,-739.6719,9.704727,0.038498014,-0.305542,0.00022708917,287.625
1950-02-11,-970.875,0.15499878,0.04557666,1.2113342,0.00018339563,-142.30078
1950-02-12,-727.0625,-13.532776,0.049928635,-0.10134888,-8.776282e-06,-1027.4844
1950-02-13,-658.3828,30.284134,0.046602577,-1.2365112,0.0007539231,-527.40234
1950-02-14,-1152.5312,21.828766,0.057148993,-0.8899536,0.0002651614,-1321.4258
1950-02-15,771.7422,-2.4736176,0.042410254,-2.7566528,-8.7943925e-05,821.59375
